"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.788319025484584E9,"2026-09-02 11:17:05.485 UTC+08:00"
"PAUSE",3.291846560833510E2,1.788319354674282E9,"2026-09-02 11:22:34.674 UTC+08:00"
