"event","experiment time","system time","system time text"
"START",0.000000000E0,1788193249.554,"2026-09-01 00:20:49.554 UTC+08:00"
"PAUSE",1.806813555E3,1788195056.368,"2026-09-01 00:50:56.368 UTC+08:00"
