"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.788309351521006E9,"2026-09-02 08:35:51.521 UTC+08:00"
"PAUSE",1.754917783541605E3,1.788311106426263E9,"2026-09-02 09:05:06.426 UTC+08:00"
