"event","experiment time","system time","system time text"
"START",0.000000000E0,1788350881.327,"2026-09-02 20:08:01.327 UTC+08:00"
"PAUSE",8.135100874E2,1788351694.837,"2026-09-02 20:21:34.837 UTC+08:00"
