"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.693818380E0,-6.330309063E-2,6.002187356E-2,-2.497566119E-2
1.713818380E0,-4.886921868E-2,3.602359444E-2,-1.656317525E-2
1.733819943E0,-3.677408770E-2,3.056071512E-2,-1.572541706E-2
1.753818380E0,-7.993607782E-3,3.710569814E-2,-1.195550524E-2
1.773818380E0,3.263765713E-3,2.518510073E-2,6.649704650E-3
1.793818380E0,-5.480333697E-3,-5.166174378E-3,8.447393775E-3
1.813818380E0,-9.197885171E-3,-2.008873969E-2,1.972222002E-3
1.833818380E0,-4.607669078E-3,-1.371828746E-2,-3.857177682E-3
1.853824630E0,-1.340412907E-2,3.089232836E-3,-5.654866807E-3
1.873818380E0,-1.806415804E-2,1.864011586E-2,-2.131047100E-2
1.893819943E0,-1.509709843E-2,3.733259439E-2,-2.904227935E-2
1.913818380E0,-6.806783844E-3,4.569271952E-2,-1.973967440E-2
1.933819943E0,-6.963863503E-3,3.056071512E-2,5.532693584E-3
1.953816818E0,-4.567526653E-2,-3.787364578E-3,2.600540640E-3
1.973818380E0,-8.126252890E-2,-9.913469665E-3,-6.003932562E-3
1.993818380E0,-8.836601675E-2,2.420771681E-2,-9.843656793E-3
2.013818380E0,-7.979645580E-2,7.794640213E-2,-1.019272301E-2
2.033819943E0,-8.761552721E-2,1.676563323E-1,-2.284635976E-2
2.053818380E0,-1.246688664E-1,2.199289352E-1,-3.015928902E-2
2.073818380E0,-1.711818874E-1,1.981297731E-1,-3.614576906E-2
2.093816818E0,-1.918116808E-1,1.538507789E-1,-4.434881732E-2
2.113818380E0,-1.845162064E-1,1.276708394E-1,-4.487241432E-2
2.133818380E0,-1.549328715E-1,9.946631640E-2,-3.127630055E-2
2.153816818E0,-1.239009202E-1,6.506587565E-2,-1.633628085E-2
2.173819943E0,-8.080874383E-2,2.544690110E-2,-1.883210242E-2
2.193819943E0,-5.707226694E-2,-2.879793290E-3,-4.244640842E-2
2.213816818E0,-5.249950290E-2,-2.368411794E-2,-5.557128415E-2
2.233816818E0,-4.050909355E-2,-3.251548484E-2,-4.696680978E-2
2.253818380E0,-3.621558100E-2,-3.312635049E-2,-4.419173673E-2
2.273818380E0,-2.110103145E-2,-3.356268257E-2,-4.970697686E-2
2.293818380E0,-1.206022501E-2,-2.263692021E-2,-4.220206290E-2
2.313816818E0,-4.537856206E-3,-1.900663599E-2,-2.769837528E-2
2.333818380E0,-1.729621366E-2,-2.747148275E-2,-2.708750963E-2
2.353819943E0,-3.174753860E-2,-2.858849242E-2,-2.923426405E-2
2.373816818E0,-3.448770568E-2,-4.904375412E-3,-3.462733328E-2
2.393819943E0,-2.574360557E-2,8.045967668E-3,-1.637118869E-2
2.413818380E0,-2.918190509E-2,-4.502949305E-3,-6.457717973E-4
2.433818380E0,-3.872885555E-2,-2.515019476E-2,1.146681327E-2
2.453816818E0,-5.454153940E-2,-2.501056902E-2,9.965829551E-3
2.473823068E0,-4.392993823E-2,-3.036872949E-3,-8.011061698E-3
2.493818380E0,-2.881538495E-2,1.500983164E-2,-2.089159191E-2
2.513816818E0,-3.583160788E-2,1.300270297E-2,-2.028072625E-2
2.533818380E0,-6.525786221E-2,3.822271014E-3,-3.019419499E-3
2.553816818E0,-8.244935423E-2,-1.239183708E-3,1.275835652E-2
2.573818380E0,-9.313076735E-2,1.228711754E-2,1.720894687E-2
2.593816818E0,-1.199041158E-1,5.585053563E-2,2.471386269E-2
2.613818380E0,-1.723861694E-1,1.618269235E-1,3.150319308E-2
2.633818380E0,-2.360557765E-1,2.737025321E-1,4.293509759E-3
2.653818380E0,-3.127455413E-1,3.979176283E-1,-2.101376466E-2
2.673819943E0,-4.125260115E-1,5.361477137E-1,-1.284562331E-2
2.693818380E0,-5.042954087E-1,6.793170571E-1,1.118756086E-2
2.713818380E0,-5.718047619E-1,1.014839172E0,2.071705833E-2
2.733816818E0,-7.550294399E-1,1.755661607E0,-1.923352852E-2
2.753818380E0,-1.053951979E0,2.686288595E0,-1.009323895E-1
2.773818380E0,-1.355632186E0,3.157841682E0,-9.496336430E-2
2.793818380E0,-1.659214735E0,3.093386650E0,8.524188399E-2
2.813818380E0,-1.886159897E0,2.912238836E0,3.467794657E-1
2.833818380E0,-1.994108438E0,3.123266697E0,4.983264208E-1
2.853816818E0,-2.179636955E0,3.209450960E0,6.143907905E-1
2.873816818E0,-2.516310930E0,2.938785315E0,7.370001674E-1
2.893819943E0,-2.696516275E0,2.710862875E0,8.104611039E-1
2.913818380E0,-2.756730080E0,2.305527687E0,8.399047852E-1
2.933826193E0,-2.571131706E0,2.021388054E0,8.677602410E-1
2.953816818E0,-2.291530132E0,2.016186953E0,8.159588575E-1
2.973818380E0,-2.491981030E0,1.714925647E0,7.223045230E-1
2.993818380E0,-2.904803753E0,1.171272993E0,7.538949847E-1
3.013816818E0,-2.885221243E0,6.063972116E-1,7.082022429E-1
3.033818380E0,-2.679499388E0,7.596894503E-1,5.047143102E-1
3.053818380E0,-2.467441797E0,7.925714850E-1,3.792076707E-1
3.073816818E0,-2.557518244E0,1.637642384E-1,3.390825689E-1
3.093816818E0,-2.283501625E0,6.581636518E-2,7.192502171E-2
3.113818380E0,-1.773219585E0,5.954190493E-1,-3.872885704E-1
3.133819943E0,-1.459234834E0,8.644266725E-1,-7.280117273E-1
3.153816818E0,-1.270913839E0,6.751456857E-1,-7.819074988E-1
3.173818380E0,-1.305663347E0,1.331511736E-1,-6.998420954E-1
3.193818380E0,-1.482151031E0,1.641482115E-1,-8.968723416E-1
3.213816818E0,-1.363416314E0,2.060535699E-1,-1.023600698E0
3.233824630E0,-1.369106054E0,8.414581418E-1,-9.095085263E-1
3.253818380E0,-7.910879254E-1,6.239028573E-1,-3.632553816E-1
3.273818380E0,2.952922583E-1,1.333972573E0,-1.192583442E-1
3.293821505E0,1.793151200E-1,1.951470137E0,-8.178612590E-2
3.313816818E0,-5.511749908E-2,1.682235599E0,-3.515093029E-1
3.333819943E0,6.161012221E-3,5.437747836E-1,-5.499706864E-1
3.353816818E0,-2.010793835E-1,-6.505191326E-1,-7.682415843E-1
3.373816818E0,-4.976980984E-1,-1.013582468E0,-7.799178362E-1
3.393819943E0,-3.836582601E-1,-9.112014771E-1,-7.357261181E-1
3.413818380E0,-8.239699155E-2,-6.054023504E-1,-7.346439958E-1
3.433816818E0,2.617993741E-4,-5.547180176E-1,-5.718571544E-1
3.453816818E0,-1.393296272E-1,-6.099053025E-1,-3.839549720E-1
3.473818380E0,-2.429149300E-1,-4.755498469E-1,-3.379655480E-1
3.493819943E0,-1.953896135E-1,-1.062905509E-2,-4.947834015E-1
3.513816818E0,-1.855285019E-1,6.243216991E-1,-6.247929931E-1
3.533818380E0,-1.993340552E-1,1.503234625E0,-6.367484927E-1
3.553818380E0,-2.291093767E-1,2.834292412E0,-8.504116535E-1
3.573818380E0,-1.362578571E-1,4.860759258E0,-1.213265657E0
3.593816818E0,2.916445136E-1,5.225481033E0,-1.373102903E0
3.613818380E0,9.401913881E-1,1.721418262E0,-9.512568116E-1
3.633816818E0,7.675085068E-1,-2.225992978E-1,-1.918640435E-1
3.653818380E0,5.115734339E-1,-7.328811884E-1,1.294685304E-1
3.673818380E0,4.076216519E-1,-4.284957945E-1,9.002408385E-2
3.693821505E0,2.275211215E-1,3.970973194E-1,-2.239082903E-1
3.713818380E0,8.395033330E-2,7.671943903E-1,-4.144807756E-1
3.733816818E0,7.515387982E-2,3.014008999E-1,-4.436103404E-1
3.753823068E0,-1.466076542E-2,2.345547974E-1,-2.273116857E-1
3.773816818E0,1.039518118E-1,5.045921206E-1,-4.866676033E-1
3.793818380E0,2.642253935E-1,8.515112400E-1,-6.135879755E-1
3.813818380E0,2.973517478E-1,5.011014938E-1,-6.506238580E-1
3.833818380E0,1.445307136E-1,2.906147838E-1,-7.223743200E-1
3.853819943E0,1.618792862E-1,3.354522884E-1,-6.170611382E-1
3.873816818E0,1.300968379E-1,3.678804934E-1,-6.109001637E-1
3.893818380E0,1.037947312E-1,4.755149484E-1,-7.282909751E-1
3.913816818E0,1.513898522E-1,4.948880970E-1,-8.532391191E-1
3.933816818E0,5.761331692E-2,5.117828846E-1,-9.059829712E-1
3.953824630E0,1.387536712E-2,2.684141994E-1,-8.420864344E-1
3.973818380E0,1.252273768E-1,-1.015956178E-1,-8.255232573E-1
3.993818380E0,1.921782047E-1,-1.964542568E-1,-8.354542255E-1
4.013816818E0,2.686061561E-1,-2.682571113E-1,-6.740286946E-1
4.033818380E0,3.740938604E-1,-3.663271666E-1,-3.511078954E-1
4.053821505E0,3.644770980E-1,-2.361779511E-1,-1.846383810E-1
4.073818380E0,3.834488392E-1,-1.172337681E-1,-2.101201862E-1
4.093816818E0,3.855432272E-1,-3.258529603E-1,-3.053278923E-1
4.113818380E0,4.182332456E-1,-6.301336884E-1,-2.094395161E-1
4.133816818E0,3.409500718E-1,-6.877470016E-1,-1.783202887E-1
4.153823068E0,3.717202246E-1,-4.472231567E-1,-2.500009537E-1
