"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.872338380E0,6.131866455E0,7.688413620E0,5.771558285E-1
1.892339943E0,6.050569057E0,7.678367138E0,6.376333237E-1
1.912338380E0,5.924308300E0,7.720170021E0,5.950357318E-1
1.932339943E0,5.974098206E0,7.710056782E0,5.299134254E-1
1.952336818E0,6.125622272E0,7.645298481E0,4.719641805E-1
1.972338380E0,6.098730564E0,7.665132046E0,5.004456043E-1
1.992338380E0,6.102216721E0,7.682341576E0,6.004753113E-1
2.012338380E0,6.093884945E0,7.681058407E0,5.960987210E-1
2.032339943E0,6.103921413E0,7.652356625E0,5.140255094E-1
2.052338380E0,6.095330715E0,7.632542133E0,4.987026155E-1
2.072338380E0,6.123333454E0,7.670533657E0,6.523050070E-1
2.092336818E0,6.138819218E0,7.704732418E0,8.599588871E-1
2.112338380E0,6.013056278E0,7.687024593E0,9.846489429E-1
2.132338380E0,5.890348911E0,7.731221676E0,1.129067183E0
2.152336818E0,5.982410908E0,7.769835472E0,1.217537761E0
2.172339943E0,6.119272709E0,7.783271790E0,1.224547982E0
2.192339943E0,6.163967609E0,7.744495392E0,1.220314980E0
2.212336818E0,5.991317272E0,7.750078678E0,1.173082113E0
2.232336818E0,5.954245090E0,7.741727352E0,1.209282517E0
2.252338380E0,5.935867310E0,7.752750397E0,1.210833907E0
2.272338380E0,5.942513943E0,7.719585896E0,1.212701440E0
2.292338380E0,5.863304138E0,7.754349709E0,1.156456828E0
2.312336818E0,5.868580818E0,7.806189060E0,1.127716780E0
2.332338380E0,5.912270069E0,7.755920410E0,1.016022563E0
2.352339943E0,5.885723114E0,7.715429783E0,1.067603230E0
2.372336818E0,5.812029839E0,7.709511280E0,1.053870082E0
2.392339943E0,5.746706486E0,7.787361145E0,1.063284039E0
2.412338380E0,5.814347267E0,7.777266979E0,9.870622754E-1
2.432338380E0,5.841784954E0,7.741832733E0,1.026068568E0
2.452336818E0,5.966925144E0,7.743806839E0,9.855874777E-1
2.472343068E0,5.995311737E0,7.726423740E0,1.091104746E0
2.492338380E0,5.964013577E0,7.722833633E0,1.083357096E0
2.512336818E0,5.896037579E0,7.719509125E0,1.022927403E0
2.532338380E0,5.849389076E0,7.729775429E0,9.824462533E-1
2.552336818E0,5.907002926E0,7.736613274E0,9.953941107E-1
2.572338380E0,5.985657215E0,7.673885345E0,1.051495075E0
2.592336818E0,5.977296829E0,7.606608391E0,8.883828521E-1
2.612338380E0,6.093262196E0,7.605602741E0,7.591534257E-1
2.632338380E0,6.271831512E0,7.592099667E0,7.741794586E-1
2.652338380E0,6.110500336E0,7.602586269E0,7.103500366E-1
2.672339943E0,5.921061516E0,7.601341248E0,8.555152416E-1
2.692338380E0,5.971761227E0,7.531239033E0,1.069604754E0
2.712338380E0,5.964531898E0,7.390258789E0,7.088273168E-1
2.732336818E0,5.791181087E0,7.164820671E0,-2.827073261E-2
2.752338380E0,5.537577629E0,6.970210552E0,2.037178278E-1
2.772338380E0,4.865103722E0,6.928522587E0,1.256649375E0
2.792338380E0,3.957078934E0,6.555946350E0,2.299812555E0
2.812338380E0,3.536666632E0,6.098826408E0,3.092542410E0
2.832338380E0,3.602660418E0,5.325479984E0,3.486216068E0
2.852336818E0,3.049408436E0,5.250378609E0,3.470356941E0
2.872336818E0,2.709901094E0,4.682244301E0,4.131501198E0
2.892339943E0,2.778346539E0,4.172662258E0,5.287010193E0
2.912338380E0,2.795469761E0,4.137343407E0,6.825753689E0
2.932346193E0,2.986335516E0,4.124557972E0,7.586161613E0
2.952336818E0,2.963849306E0,3.245330811E0,6.668876171E0
2.972338380E0,2.572674990E0,2.826393366E0,5.522934914E0
2.992338380E0,2.242064476E0,2.618471146E0,7.232758522E0
3.012336818E0,3.016301394E0,2.482605219E0,8.906200409E0
3.032338380E0,3.104091883E0,1.931728005E0,8.795166969E0
3.052338380E0,2.361985207E0,1.610330462E0,8.721320152E0
3.072336818E0,2.828222513E0,1.956675649E0,9.817692757E0
3.092336818E0,4.199190140E0,1.779887795E0,1.047730350E1
3.112338380E0,4.330947876E0,1.568652153E0,1.066891670E1
3.132339943E0,3.755985260E0,1.108036518E0,1.016787815E1
3.152336818E0,2.595190048E0,1.092962623E0,9.850646019E0
3.172338380E0,2.558032036E0,1.573852301E-1,9.121811867E0
3.192338380E0,3.357015371E0,-1.921394616E-1,9.272551537E0
3.212336818E0,2.174299002E0,-2.439212650E-1,1.120400238E1
3.232344630E0,-4.049839973E-1,1.765101254E-1,5.044362545E0
3.252338380E0,-3.116283178E0,-8.591831923E-1,1.956190300E1
3.272338380E0,-2.465558290E0,-1.601941109E0,1.439010048E1
3.292341505E0,4.198471829E-2,-1.491616368E0,1.144703197E1
3.312336818E0,2.049350262E0,-7.462151647E-1,1.086390972E1
3.332339943E0,2.001083374E0,-1.803197742E0,1.056521988E1
3.352336818E0,1.043067455E0,-1.353537917E0,7.918055534E0
3.372336818E0,-2.591771185E-1,-9.053816795E-1,8.591879845E0
3.392339943E0,2.014002353E-1,-4.457524419E-1,1.051956654E1
3.412338380E0,9.330108166E-1,-7.243992090E-1,1.003556442E1
3.432336818E0,7.023725510E-1,-8.221784234E-1,8.986061096E0
3.452336818E0,1.240167737E0,-7.542022467E-1,8.768801689E0
3.472338380E0,2.106054544E0,-1.171166778E0,9.497827530E0
3.492339943E0,2.613204002E0,-1.357167602E0,8.680225372E0
3.512336818E0,2.028310061E0,-1.382718444E0,8.062589645E0
3.532338380E0,1.667369843E0,-1.638371348E0,7.169447422E0
3.552338380E0,1.653004646E0,-2.188415289E0,6.607948303E0
3.572338380E0,5.782667398E-1,-1.924794436E0,7.671740055E0
3.592336818E0,-1.435180187E0,-1.072056413E0,1.146572685E1
3.612338380E0,-2.694223881E0,-9.894756675E-1,1.112925625E1
3.632336818E0,-2.667399168E0,-2.596367896E-1,9.263100624E0
3.652338380E0,-2.447419882E0,-8.764597178E-1,1.099265099E1
3.672338380E0,-5.781709552E-1,-1.147684455E0,9.990888596E0
3.692341505E0,-6.697922349E-1,-1.315805316E0,8.808526039E0
3.712338380E0,-1.459591508E0,-1.291346192E0,8.822422981E0
3.732336818E0,-2.391366959E0,-4.982908070E-1,9.505095482E0
3.752343068E0,-1.120620370E0,-2.235226631E-1,9.001777649E0
3.772336818E0,1.403002162E-2,4.644559622E-1,8.539820671E0
3.792338380E0,-7.459470034E-1,7.449797988E-1,9.221785545E0
3.812338380E0,-1.007489562E0,7.978150249E-1,9.664790154E0
3.832338380E0,-1.352810144E0,7.783932686E-1,9.214258194E0
3.852339943E0,-2.287650108E0,6.479092836E-1,9.743471146E0
3.872336818E0,-1.327115536E0,4.870763719E-1,9.131676674E0
3.892338380E0,-5.780177116E-1,2.468996495E-1,9.712960243E0
3.912336818E0,-1.519015551E0,4.104523361E-1,9.457269669E0
3.932336818E0,-1.742825508E0,5.714288950E-1,9.257620811E0
3.952344630E0,-1.683296084E0,3.244430423E-1,9.057963371E0
3.972338380E0,-1.587346077E0,-4.170603454E-1,8.832171440E0
3.992338380E0,-2.656414509E0,-4.978598654E-1,8.553180695E0
4.012336818E0,-4.546493053E0,-1.037704468E0,9.177721977E0
4.032338380E0,-5.494817257E0,-1.498751044E0,9.086168289E0
4.052341505E0,-4.089229107E0,-1.820732832E0,8.545872688E0
4.072338380E0,-2.612188816E0,-2.092628002E0,9.225893974E0
4.092336818E0,-2.075399399E0,-1.401316643E0,9.249625206E0
4.112338380E0,-2.234652042E0,-5.318862796E-1,9.226677895E0
4.132336818E0,-1.447055459E0,-2.230438143E-1,9.274705887E0
4.152343068E0,-9.107447267E-1,1.089878917E0,9.086100578E0
4.172338380E0,-1.125648260E0,3.630375862E-1,9.461416245E0
4.192338380E0,-1.663376331E0,-1.366801858E-1,9.315006256E0
4.212336818E0,-2.043269157E0,-2.804088891E-1,9.305047035E0
4.232336818E0,-1.949493051E0,-2.548579574E-1,9.117388725E0
4.252338380E0,-1.809470534E0,-6.912539154E-2,9.051260948E0
4.272336818E0,-1.597468734E0,-1.545792371E-1,9.315369606E0
4.292338380E0,-1.772446632E0,-3.815782666E-1,9.513445854E0
4.312336818E0,-1.482384324E0,-8.701486140E-2,9.096529961E0
4.332338380E0,-1.597602844E0,4.654423594E-1,9.285748482E0
4.352338380E0,-1.720291257E0,3.246058524E-1,9.225988388E0
4.372336818E0,-1.651118040E0,-1.157357022E-1,9.026992798E0
4.392338380E0,-1.578698277E0,1.433456391E-1,9.277722359E0
