"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.772557708E0,1.128490418E-1,-1.137282372E0,-2.440175861E-1
1.792644708E0,2.033639848E-1,-8.969376087E-1,2.698102891E-1
1.812731708E0,4.043005109E-1,-5.277922153E-1,5.618951321E-1
1.832818708E0,4.780609608E-1,-4.608227313E-1,5.962598324E-1
1.852905708E0,3.632732034E-1,-6.523402333E-1,5.287786722E-1
1.872993708E0,1.648564190E-1,-7.498032451E-1,5.462496281E-1
1.893080708E0,5.518783815E-3,-8.080229759E-1,7.363341451E-1
1.913167708E0,-8.782050759E-2,-8.335454464E-1,9.004124999E-1
1.933254708E0,-2.327552736E-1,-7.231900096E-1,8.431455493E-1
1.953341708E0,-4.537088573E-1,-7.304083109E-1,7.687877417E-1
1.973428708E0,-5.870135427E-1,-7.260048389E-1,7.542581558E-1
1.993515708E0,-5.899245143E-1,-6.134056449E-1,6.429496408E-1
2.013602708E0,-4.966120422E-1,-5.770228505E-1,5.155324936E-1
2.033689708E0,-3.445345461E-1,-5.223690271E-1,5.618584752E-1
2.053777708E0,-1.426962614E-1,-4.331464469E-1,6.088753939E-1
2.073864708E0,-2.016431652E-2,-5.418544412E-1,8.150660396E-1
2.093951708E0,-1.940871477E-1,-3.270386457E-1,9.450605512E-1
2.114038708E0,-3.857174814E-1,-3.716052771E-1,8.375812769E-1
2.134125708E0,-1.003564000E0,1.724151373E-1,1.007674783E-1
2.154212708E0,-1.236414909E0,-5.495844483E-1,-7.511081100E-1
2.174299708E0,-8.412955999E-1,-4.857701659E-1,-4.705395401E-1
2.194386708E0,-2.950679362E-1,-1.877476275E-1,-1.088141501E-1
2.214473708E0,-8.728414774E-2,-3.432919085E-1,-6.115956977E-2
2.234561708E0,-1.214861646E-1,-4.924912453E-1,-2.976062894E-1
2.254648708E0,-5.143810809E-2,-5.800360441E-1,-3.247469068E-1
2.274735708E0,-1.215418577E-1,-7.925534248E-1,5.982775241E-2
2.294822708E0,-2.801713347E-1,-9.859677553E-1,4.954794347E-1
2.314909708E0,-3.804471493E-1,-9.964475632E-1,8.048797250E-1
2.334996708E0,-4.631393552E-1,-7.274339199E-1,9.616349936E-1
2.355083708E0,-3.134572804E-1,-7.947629094E-1,9.572870731E-1
2.375170708E0,3.777578846E-2,-8.682023883E-1,9.702977538E-1
2.395258708E0,4.614087939E-1,-7.445154786E-1,9.461911917E-1
2.415345708E0,8.689144850E-1,-7.028097510E-1,7.666016221E-1
2.435432708E0,1.002397060E0,-7.211177945E-1,4.309758246E-1
2.455519708E0,7.607666254E-1,-6.006841063E-1,1.462898105E-1
2.475606708E0,2.655501068E-1,-5.438590646E-1,4.486845434E-2
2.495693708E0,-5.008795261E-1,-5.438361168E-1,-1.389593184E-1
2.515780708E0,-1.150092721E0,-5.700474977E-1,-2.751192153E-1
2.535867708E0,-1.218990326E0,-8.341080546E-1,-8.451826870E-2
2.555954708E0,-8.669894338E-1,-7.196083665E-1,8.109226823E-2
2.576042708E0,-4.462453723E-1,-4.956676960E-1,1.543425471E-1
2.596129708E0,-1.507939100E-1,-7.133901119E-2,3.315956146E-2
2.616216708E0,-1.984767169E-1,1.725925356E-1,-4.794099927E-1
2.636303708E0,-4.266648889E-1,3.964001834E-1,-1.025533795E0
2.656390708E0,-6.908411384E-1,3.923864067E-1,-1.208242416E0
2.676477708E0,-9.090377092E-1,5.090552568E-1,-1.068534374E0
2.696564125E0,-1.080936909E0,6.009831429E-1,-6.906073689E-1
2.716652125E0,-1.173161387E0,5.454990268E-1,-1.806885898E-1
2.736739125E0,-9.659585357E-1,6.066774130E-1,-1.797371060E-1
2.756826125E0,-7.053064108E-1,5.908418894E-1,-6.499641538E-1
2.776913125E0,-2.950182557E-1,8.331823349E-1,-7.646223307E-1
2.797000125E0,1.737708412E-2,7.176753283E-1,-3.951954544E-1
2.817087125E0,3.183935285E-1,4.770067930E-1,9.871432185E-2
2.837174125E0,5.080147982E-1,3.053633571E-1,2.856530249E-1
2.857261125E0,3.650337160E-1,3.413703144E-1,1.901419610E-1
