"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.852905708E0,1.956756592E0,-4.027046204E1,1.859146118E1
1.872993708E0,1.906829834E0,-4.014736938E1,1.861753845E1
1.893080708E0,1.645477295E0,-4.023925781E1,1.898196411E1
1.913167708E0,1.358001709E0,-4.018153381E1,1.905996704E1
1.933254708E0,9.303283691E-1,-4.025936890E1,1.885391235E1
1.953341708E0,6.175537109E-1,-4.034822083E1,1.838269043E1
1.973428708E0,3.435668945E-1,-4.064822388E1,1.813873291E1
1.993515708E0,-1.882934570E-2,-4.080905151E1,1.734324646E1
2.013602708E0,-3.441772461E-1,-4.101985168E1,1.729370117E1
2.033689708E0,-6.403503418E-1,-4.113536072E1,1.692408752E1
2.053777708E0,-8.099060059E-1,-4.124987793E1,1.656166077E1
2.073864708E0,-1.474426270E0,-4.125289917E1,1.668244934E1
2.093951708E0,-2.008026123E0,-4.144229126E1,1.658093262E1
2.114038708E0,-2.747131348E0,-4.146301270E1,1.682498169E1
2.134125708E0,-3.523437500E0,-4.159538269E1,1.627932739E1
2.154212708E0,-2.816680908E0,-4.184819031E1,1.483311462E1
2.174299708E0,-2.047546387E0,-4.228700256E1,1.367260742E1
2.194386708E0,-1.638397217E0,-4.251599121E1,1.341067505E1
2.214473708E0,-1.677551270E0,-4.236578369E1,1.331027222E1
2.234561708E0,-1.435791016E0,-4.245657349E1,1.316506958E1
2.254648708E0,-9.454956055E-1,-4.253385925E1,1.317909241E1
2.274735708E0,-7.545166016E-1,-4.248196411E1,1.295413208E1
2.294822708E0,-6.702880859E-1,-4.251721191E1,1.304025269E1
2.314909708E0,-8.118591309E-1,-4.248373413E1,1.265661621E1
2.334996708E0,-1.385803223E0,-4.260615540E1,1.259237671E1
2.355083708E0,-2.027435303E0,-4.271304321E1,1.213565063E1
2.375170708E0,-2.566436768E0,-4.268023682E1,1.200073242E1
2.395258708E0,-3.298431396E0,-4.253656006E1,1.219467163E1
2.415345708E0,-3.915405273E0,-4.233305359E1,1.285589600E1
2.435432708E0,-4.429931641E0,-4.224153137E1,1.400553894E1
2.455519708E0,-4.545074463E0,-4.195741272E1,1.476991272E1
2.475606708E0,-4.405242920E0,-4.174607849E1,1.547152710E1
2.495693708E0,-4.482086182E0,-4.175668335E1,1.530331421E1
2.515780708E0,-4.096801758E0,-4.206544495E1,1.486968994E1
2.535867708E0,-3.519287109E0,-4.235821533E1,1.361854553E1
2.555954708E0,-3.251495361E0,-4.236956787E1,1.275277710E1
2.576042708E0,-3.147949219E0,-4.260876465E1,1.205505371E1
2.596129708E0,-3.175262451E0,-4.267370605E1,1.179998779E1
2.616216708E0,-3.116210938E0,-4.284291077E1,1.154132080E1
2.636303708E0,-2.639892578E0,-4.276983643E1,1.132638550E1
2.656390708E0,-1.715026855E0,-4.309106445E1,1.096540833E1
2.676477708E0,-5.552673340E-1,-4.328073120E1,1.008941650E1
2.696564125E0,1.367797852E-1,-4.341432190E1,9.288848877E0
2.716652125E0,2.893981934E-1,-4.360473633E1,8.271209717E0
2.736739125E0,4.699707031E-1,-4.381344604E1,7.199050903E0
2.756826125E0,5.581970215E-1,-4.384477234E1,6.468231201E0
2.776913125E0,1.019134521E0,-4.402078247E1,5.958145142E0
2.797000125E0,1.398223877E0,-4.397489929E1,6.031326294E0
2.817087125E0,1.578125000E0,-4.386978149E1,6.095535278E0
2.837174125E0,1.427612305E0,-4.383540344E1,6.357162476E0
2.857261125E0,1.179412842E0,-4.369659424E1,6.704452515E0
2.877349125E0,7.695617676E-1,-4.371089172E1,6.845001221E0
2.897436125E0,5.217590332E-1,-4.360502625E1,6.856079102E0
2.917523125E0,3.560180664E-1,-4.377801514E1,7.295379639E0
2.937610125E0,1.869506836E-1,-4.384440613E1,7.244430542E0
2.957697125E0,1.309509277E-1,-4.379806519E1,6.860214233E0
2.977784125E0,1.841430664E-1,-4.379515076E1,7.131500244E0
2.997871125E0,2.200317383E-1,-4.380395508E1,7.110275269E0
3.017959125E0,3.833007812E-1,-4.362808228E1,7.454666138E0
3.038046125E0,7.617492676E-1,-4.367190552E1,7.428527832E0
3.058133125E0,1.489715576E0,-4.356378174E1,7.760955811E0
3.078220125E0,2.485107422E0,-4.365043640E1,7.757675171E0
3.098307125E0,3.199401855E0,-4.371290588E1,8.013488770E0
3.118394125E0,3.815582275E0,-4.361152649E1,7.946792603E0
3.138481125E0,4.231506348E0,-4.363464355E1,7.974044800E0
3.158568125E0,4.867645264E0,-4.348037720E1,7.887664795E0
3.178656125E0,5.540283203E0,-4.334033203E1,7.766937256E0
3.198743125E0,5.991699219E0,-4.325576782E1,7.456909180E0
3.218830125E0,6.839874268E0,-4.308776855E1,7.261962891E0
3.238917125E0,7.622406006E0,-4.305470276E1,7.369842529E0
3.259004125E0,8.032440186E0,-4.294082642E1,7.302841187E0
3.279091125E0,7.994476318E0,-4.305780029E1,7.581222534E0
3.299178125E0,8.066833496E0,-4.303848267E1,7.666259766E0
3.319266125E0,8.073150635E0,-4.329742432E1,7.462417603E0
3.339353125E0,8.000488281E0,-4.310943604E1,7.692871094E0
3.359440125E0,8.006927490E0,-4.321420288E1,7.654571533E0
3.379527125E0,7.966522217E0,-4.317276001E1,7.551574707E0
3.399614125E0,8.340484619E0,-4.318135071E1,7.110336304E0
3.419701125E0,9.062377930E0,-4.310020447E1,6.484420776E0
3.439788125E0,1.019110107E1,-4.287838745E1,5.899902344E0
3.459876125E0,1.173138428E1,-4.286489868E1,5.490844727E0
3.479963125E0,1.358758545E1,-4.238531494E1,4.759857178E0
3.500050125E0,1.583306885E1,-4.163737488E1,3.602050781E0
3.520137125E0,1.815600586E1,-4.089385986E1,2.211257935E0
3.540224125E0,2.053274536E1,-3.985668945E1,-2.244873047E-1
3.560311125E0,2.229177856E1,-3.860939026E1,-3.560760498E0
3.580398125E0,2.365170288E1,-3.746287537E1,-7.073394775E0
3.600486125E0,2.465274048E1,-3.628874207E1,-9.773330688E0
3.620573125E0,2.341842651E1,-3.674354553E1,-1.118086243E1
3.640660125E0,2.190045166E1,-3.764154053E1,-1.134881592E1
3.660747125E0,2.162695312E1,-3.712164307E1,-1.245338440E1
3.680834125E0,2.162384033E1,-3.680725098E1,-1.370533752E1
3.700921958E0,2.113494873E1,-3.664648438E1,-1.488787842E1
3.721008958E0,2.076788330E1,-3.618139648E1,-1.654119873E1
3.741096958E0,2.045312500E1,-3.581546021E1,-1.774436951E1
3.761183958E0,2.015625000E1,-3.558908081E1,-1.866000366E1
3.781270958E0,1.992581177E1,-3.538627625E1,-1.924095154E1
3.801357958E0,1.994451904E1,-3.543620300E1,-1.948869324E1
3.821444958E0,1.975000000E1,-3.524337769E1,-1.961148071E1
3.841531958E0,1.970526123E1,-3.528460693E1,-1.951626587E1
3.861618958E0,1.966345215E1,-3.521421814E1,-1.978875732E1
3.881706958E0,1.964767456E1,-3.519487000E1,-1.986254883E1
3.901793958E0,1.965905762E1,-3.508032227E1,-2.001872253E1
3.921880958E0,1.997784424E1,-3.509172058E1,-1.992501831E1
3.941967958E0,2.014001465E1,-3.501992798E1,-1.942764282E1
3.962054958E0,2.068002319E1,-3.493594360E1,-1.945785522E1
3.982141958E0,2.086654663E1,-3.493962097E1,-1.910507202E1
4.002228958E0,2.138012695E1,-3.484085083E1,-1.925859070E1
4.022316958E0,2.154345703E1,-3.465892029E1,-1.916773987E1
4.042403958E0,2.177160645E1,-3.470591736E1,-1.913191223E1
4.062490958E0,2.204843140E1,-3.481263733E1,-1.918647766E1
4.082577958E0,2.213586426E1,-3.470402527E1,-1.903198242E1
4.102664958E0,2.231045532E1,-3.459947205E1,-1.861898804E1
4.122751958E0,2.235775757E1,-3.485987854E1,-1.824235535E1
4.142838958E0,2.266897583E1,-3.481224060E1,-1.784872437E1
4.162926958E0,2.287432861E1,-3.513018799E1,-1.710054016E1
4.183013958E0,2.314050293E1,-3.522972107E1,-1.637315369E1
4.203100958E0,2.307150269E1,-3.549945068E1,-1.583071899E1
4.223187958E0,2.319485474E1,-3.560679626E1,-1.546737671E1
4.243274958E0,2.326202393E1,-3.574659729E1,-1.501878357E1
4.263361958E0,2.334930420E1,-3.582322693E1,-1.498818970E1
4.283448958E0,2.331457520E1,-3.598573303E1,-1.468051147E1
4.303536958E0,2.292874146E1,-3.597750854E1,-1.425872803E1
4.323623958E0,2.291705322E1,-3.603042603E1,-1.407637024E1
4.343710958E0,2.314880371E1,-3.616046143E1,-1.361514282E1
4.363797958E0,2.323001099E1,-3.631954956E1,-1.276205444E1
4.383884958E0,2.352011108E1,-3.635807800E1,-1.260102844E1
4.403971958E0,2.338156128E1,-3.627279663E1,-1.188830566E1
4.424059958E0,2.360226440E1,-3.622363281E1,-1.170948792E1
4.444146958E0,2.386132812E1,-3.648654175E1,-1.100296021E1
4.464233958E0,2.390252686E1,-3.640853882E1,-1.012458801E1
4.484320958E0,2.411279297E1,-3.652462769E1,-1.001518250E1
4.504407958E0,2.422613525E1,-3.667288208E1,-9.380752563E0
4.524494958E0,2.440338135E1,-3.661405945E1,-8.743530273E0
4.544581958E0,2.452923584E1,-3.661022949E1,-8.298706055E0
4.564669958E0,2.491043091E1,-3.657144165E1,-8.124328613E0
4.584756958E0,2.504153442E1,-3.642433167E1,-8.042678833E0
4.604843958E0,2.506286621E1,-3.618635559E1,-8.113815308E0
4.624930958E0,2.512255859E1,-3.612982178E1,-7.963531494E0
4.645017958E0,2.522387695E1,-3.612191772E1,-8.132049561E0
4.665104958E0,2.524145508E1,-3.608850098E1,-8.188247681E0
4.685192958E0,2.509411621E1,-3.626287842E1,-8.403442383E0
4.705279375E0,2.525683594E1,-3.621174622E1,-8.228866577E0
4.725366375E0,2.541149902E1,-3.608392334E1,-7.944137573E0
4.745453375E0,2.556219482E1,-3.600729370E1,-7.902267456E0
4.765540375E0,2.558843994E1,-3.606454468E1,-7.756881714E0
4.785627375E0,2.531500244E1,-3.629026794E1,-7.648803711E0
4.805714375E0,2.501696777E1,-3.647729492E1,-7.434753418E0
4.825802375E0,2.464749146E1,-3.675169373E1,-6.753158569E0
4.845889375E0,2.437820435E1,-3.716033936E1,-6.105865479E0
4.865976375E0,2.424057007E1,-3.732766724E1,-5.579879761E0
4.886063375E0,2.424801636E1,-3.752557373E1,-5.056350708E0
4.906150375E0,2.434658813E1,-3.750648499E1,-4.683685303E0
4.926237375E0,2.448574829E1,-3.738571167E1,-3.802505493E0
4.946325375E0,2.480923462E1,-3.716668701E1,-3.032211304E0
4.966412375E0,2.515463257E1,-3.721023560E1,-2.499847412E0
4.986499375E0,2.527206421E1,-3.710981750E1,-1.753372192E0
5.006586375E0,2.570260620E1,-3.663452148E1,-1.269027710E0
5.026673375E0,2.597930908E1,-3.654756165E1,-9.243621826E-1
5.046760375E0,2.617150879E1,-3.642866516E1,-5.813293457E-1
5.066847375E0,2.654425049E1,-3.650303650E1,-1.415863037E-1
5.086935375E0,2.672512817E1,-3.626132202E1,1.999206543E-1
5.107022375E0,2.682742310E1,-3.624356079E1,3.652801514E-1
5.127109375E0,2.665621948E1,-3.630249023E1,5.621185303E-1
5.147196375E0,2.638742065E1,-3.664096069E1,3.737182617E-1
5.167283375E0,2.599563599E1,-3.695108032E1,-2.475433350E-1
5.187370375E0,2.535455322E1,-3.734738159E1,-9.519500732E-1
5.207458375E0,2.429928589E1,-3.792515564E1,-1.332962036E0
5.227545375E0,2.364517212E1,-3.832865906E1,-1.832260132E0
5.247632375E0,2.302258301E1,-3.876844788E1,-2.797271729E0
5.267719375E0,2.227746582E1,-3.897174072E1,-4.089218140E0
5.287806375E0,2.159014893E1,-3.903839111E1,-5.956420898E0
5.307893375E0,2.093045044E1,-3.918698120E1,-7.459075928E0
5.327981375E0,2.025274658E1,-3.940139771E1,-8.032394409E0
5.348068375E0,1.989044189E1,-3.953775024E1,-8.200927734E0
5.368155375E0,1.968954468E1,-3.961613464E1,-7.997436523E0
5.388242375E0,1.951712036E1,-3.991241455E1,-7.953872681E0
5.408329375E0,1.940350342E1,-4.007150269E1,-7.513092041E0
5.428416375E0,1.923165894E1,-4.024293518E1,-6.767898560E0
5.448503375E0,1.929284668E1,-4.034400940E1,-6.028427124E0
5.468591375E0,1.925445557E1,-4.050463867E1,-5.250717163E0
5.488678375E0,1.939251709E1,-4.061500549E1,-4.252471924E0
5.508765375E0,1.959030151E1,-4.063449097E1,-3.606384277E0
5.528852375E0,1.971200562E1,-4.065505981E1,-2.744110107E0
5.548939375E0,1.959796143E1,-4.060142517E1,-1.965270996E0
5.569026375E0,1.949490356E1,-4.069873047E1,-1.471755981E0
5.589114375E0,1.917810059E1,-4.068995667E1,-1.276107788E0
5.609201375E0,1.922082520E1,-4.082652283E1,-1.273910522E0
5.629288375E0,1.920611572E1,-4.059414673E1,-1.251388550E0
5.649375375E0,1.920355225E1,-4.074270630E1,-1.281967163E0
5.669462375E0,1.938690186E1,-4.057495117E1,-8.195648193E-1
5.689549375E0,1.967025757E1,-4.063314819E1,-2.529602051E-1
5.709637500E0,1.997396851E1,-4.043122864E1,4.501037598E-1
5.729724500E0,2.004248047E1,-4.032752991E1,9.770202637E-1
5.749811500E0,2.018933105E1,-4.046160889E1,1.468887329E0
5.769898500E0,1.998242188E1,-4.030447388E1,1.812576294E0
5.789985500E0,1.995410156E1,-4.035787964E1,1.961822510E0
5.810072500E0,2.007888794E1,-4.028355408E1,2.314407349E0
5.830160500E0,2.034204102E1,-4.013040161E1,3.088531494E0
5.850247500E0,2.090740967E1,-3.985765076E1,4.042236328E0
5.870334500E0,2.157809448E1,-3.935293579E1,4.881759644E0
5.890421500E0,2.254177856E1,-3.868771362E1,5.111694336E0
5.910508500E0,2.329000854E1,-3.828500366E1,5.517257690E0
5.930595500E0,2.348828125E1,-3.823022461E1,5.669143677E0
5.950682500E0,2.351159668E1,-3.835092163E1,5.266082764E0
5.970770500E0,2.343432617E1,-3.828285217E1,5.058593750E0
5.990857500E0,2.379077148E1,-3.813993835E1,4.788635254E0
6.010944500E0,2.397406006E1,-3.798007202E1,5.058059692E0
6.031031500E0,2.401519775E1,-3.776866150E1,6.245361328E0
6.051118500E0,2.412579346E1,-3.751757812E1,7.114334106E0
6.071205500E0,2.435385132E1,-3.714927673E1,7.962524414E0
6.091293500E0,2.433627319E1,-3.710459900E1,8.471527100E0
6.111380500E0,2.435699463E1,-3.709564209E1,8.918533325E0
6.131467500E0,2.421783447E1,-3.722880554E1,9.335281372E0
6.151554500E0,2.423553467E1,-3.711999512E1,9.610443115E0
6.171641500E0,2.423547363E1,-3.690457153E1,9.835189819E0
6.191728500E0,2.416333008E1,-3.692857361E1,9.731811523E0
6.211816500E0,2.423406982E1,-3.686529541E1,9.255569458E0
6.231903500E0,2.452044678E1,-3.699456787E1,9.295486450E0
6.251990500E0,2.462268066E1,-3.688948059E1,8.876464844E0
6.272077500E0,2.484820557E1,-3.688815308E1,8.773635864E0
6.292164500E0,2.499285889E1,-3.651419067E1,8.603805542E0
6.312251500E0,2.526660156E1,-3.647494507E1,8.344314575E0
6.332339500E0,2.545471191E1,-3.635517883E1,8.173736572E0
6.352426500E0,2.574212646E1,-3.618519592E1,8.215377808E0
6.372513500E0,2.577337646E1,-3.593644714E1,8.397598267E0
6.392600500E0,2.604156494E1,-3.587229919E1,8.337738037E0
6.412687500E0,2.628643799E1,-3.553648376E1,8.109542847E0
6.432774500E0,2.652087402E1,-3.553330994E1,7.867324829E0
6.452862500E0,2.672323608E1,-3.554179382E1,7.537139893E0
6.472949500E0,2.687533569E1,-3.546812439E1,6.799560547E0
6.493036500E0,2.696652222E1,-3.557244873E1,6.188568115E0
6.513123500E0,2.706259155E1,-3.552088928E1,5.618255615E0
6.533210500E0,2.731454468E1,-3.553807068E1,4.683563232E0
6.553297500E0,2.735360718E1,-3.566374207E1,3.995864868E0
6.573385500E0,2.746432495E1,-3.566819763E1,3.189102173E0
6.593472500E0,2.738937378E1,-3.576919556E1,2.617889404E0
6.613559500E0,2.744143677E1,-3.567111206E1,2.029083252E0
6.633646500E0,2.730850220E1,-3.577778625E1,1.365341187E0
6.653733500E0,2.722039795E1,-3.583581543E1,5.900421143E-1
6.673821500E0,2.714587402E1,-3.614543152E1,3.413543701E-1
6.693908125E0,2.719744873E1,-3.626211548E1,5.050659180E-3
6.713995125E0,2.643222046E1,-3.656207275E1,-4.135131836E-1
6.734082125E0,2.597402954E1,-3.686297607E1,-7.841491699E-1
6.754169125E0,2.588790894E1,-3.717718506E1,-1.602035522E0
6.774256125E0,2.520510864E1,-3.761431885E1,-2.667312622E0
6.794344125E0,2.431048584E1,-3.786784363E1,-5.088195801E0
6.814431125E0,2.361337280E1,-3.823297119E1,-7.815124512E0
6.834518125E0,2.241473389E1,-3.822317505E1,-1.046520996E1
6.854605125E0,2.177941895E1,-3.799093628E1,-1.244357300E1
6.874692125E0,2.093692017E1,-3.810144043E1,-1.359718323E1
6.894779125E0,2.036392212E1,-3.812983704E1,-1.377296448E1
6.914867125E0,1.992163086E1,-3.828012085E1,-1.419430542E1
6.934954125E0,1.971279907E1,-3.844975281E1,-1.463110352E1
6.955041125E0,1.920693970E1,-3.852139282E1,-1.488282776E1
6.975128125E0,1.897753906E1,-3.870079041E1,-1.468774414E1
6.995215125E0,1.898376465E1,-3.888465881E1,-1.442768860E1
7.015303125E0,1.908367920E1,-3.894969177E1,-1.410281372E1
7.035390125E0,1.955130005E1,-3.879246521E1,-1.333641052E1
7.055477125E0,1.997006226E1,-3.893347168E1,-1.301737976E1
7.075564125E0,2.054049683E1,-3.902833557E1,-1.205798340E1
7.095651125E0,2.113327026E1,-3.903849792E1,-1.099317932E1
7.115738125E0,2.179779053E1,-3.895904541E1,-1.006248474E1
7.135826125E0,2.244192505E1,-3.875878906E1,-9.339462280E0
7.155913125E0,2.304525757E1,-3.861230469E1,-8.734817505E0
7.176000125E0,2.333337402E1,-3.864125061E1,-8.102142334E0
7.196087125E0,2.336111450E1,-3.855322266E1,-7.936935425E0
7.216174125E0,2.318328857E1,-3.867045593E1,-7.506195068E0
7.236261125E0,2.280548096E1,-3.904844666E1,-7.318725586E0
7.256349125E0,2.241665649E1,-3.918725586E1,-7.215042114E0
7.276436125E0,2.207858276E1,-3.952737427E1,-7.217681885E0
7.296523125E0,2.219396973E1,-3.929690552E1,-7.244766235E0
7.316610125E0,2.279074097E1,-3.897590637E1,-7.448730469E0
7.336697125E0,2.334576416E1,-3.862580872E1,-7.127426147E0
7.356785125E0,2.392041016E1,-3.855998230E1,-6.841049194E0
7.376872125E0,2.416659546E1,-3.821437073E1,-6.021820068E0
7.396959125E0,2.416140747E1,-3.825740051E1,-5.377761841E0
7.417046125E0,2.431387329E1,-3.835112000E1,-4.969619751E0
7.437133125E0,2.434118652E1,-3.849934387E1,-4.281265259E0
7.457220125E0,2.427307129E1,-3.842321777E1,-3.867034912E0
7.477308125E0,2.439682007E1,-3.867210388E1,-2.781707764E0
7.497395125E0,2.412338257E1,-3.873141479E1,-2.015960693E0
7.517482125E0,2.392367554E1,-3.892198181E1,-2.219223022E0
7.537569125E0,2.351815796E1,-3.904301453E1,-2.380645752E0
7.557656125E0,2.319091797E1,-3.919825745E1,-2.296432495E0
7.577744125E0,2.322323608E1,-3.925070190E1,-2.117935181E0
7.597831125E0,2.340869141E1,-3.922523499E1,-1.759902954E0
7.617918125E0,2.350451660E1,-3.901702881E1,-7.464599609E-1
7.638005125E0,2.377667236E1,-3.885426331E1,3.792114258E-1
7.658092125E0,2.402697754E1,-3.854461670E1,1.130874634E0
7.678180125E0,2.431063843E1,-3.855253601E1,1.674774170E0
7.698267375E0,2.458761597E1,-3.832174683E1,2.111679077E0
7.718354375E0,2.512542725E1,-3.794181824E1,2.505615234E0
7.738441375E0,2.546154785E1,-3.768167114E1,3.007690430E0
7.758528375E0,2.615866089E1,-3.736940002E1,3.363937378E0
7.778615375E0,2.632974243E1,-3.692750549E1,3.351043701E0
7.798703375E0,2.670187378E1,-3.681994629E1,3.318649292E0
7.818790375E0,2.690603638E1,-3.667742920E1,3.810089111E0
7.838877375E0,2.698818970E1,-3.672131348E1,4.045318604E0
7.858964375E0,2.692465210E1,-3.675575256E1,4.240188599E0
7.879051375E0,2.673861694E1,-3.684289551E1,4.277450562E0
7.899139375E0,2.626126099E1,-3.725521851E1,4.255035400E0
7.919226375E0,2.576248169E1,-3.748028564E1,4.331298828E0
7.939313375E0,2.546505737E1,-3.794279480E1,4.288360596E0
7.959400375E0,2.502606201E1,-3.823219299E1,3.781661987E0
7.979487375E0,2.471826172E1,-3.853477478E1,2.337326050E0
7.999574375E0,2.433999634E1,-3.883219910E1,6.095733643E-1
8.019662375E0,2.372994995E1,-3.920516968E1,-2.006729126E0
8.039749375E0,2.313427734E1,-3.956491089E1,-4.230926514E0
8.059836375E0,2.234512329E1,-3.976004028E1,-5.853179932E0
8.079923375E0,2.173324585E1,-3.979443359E1,-7.067550659E0
8.100010375E0,2.133279419E1,-3.979606628E1,-7.926345825E0
8.120098375E0,2.102239990E1,-3.989912415E1,-8.535156250E0
8.140185375E0,2.077685547E1,-3.988716125E1,-9.610229492E0
8.160272375E0,2.039779663E1,-4.002850342E1,-1.003288269E1
8.180359375E0,2.024810791E1,-3.991328430E1,-1.038412476E1
8.200446375E0,2.003320312E1,-3.990884399E1,-1.068559265E1
8.220533375E0,2.023333740E1,-4.002839661E1,-1.095574951E1
8.240621375E0,2.020675659E1,-3.997673035E1,-1.070927429E1
