"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.788318855732000E9,"2026-09-02 11:14:15.732 UTC+08:00"
"PAUSE",8.576358197499994E2,1.788319713342000E9,"2026-09-02 11:28:33.342 UTC+08:00"
