"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.872305250E0,5.433700562E0,1.799857178E0,5.648054810E0
1.892261250E0,5.284161530E0,1.492845612E0,5.229375458E0
1.912218250E0,4.571643219E0,1.596729584E0,3.816014557E0
1.932174250E0,3.232827301E0,3.126997375E-1,3.777694244E0
1.952131250E0,3.008294220E0,-7.328759766E-1,4.621938629E0
1.972088250E0,3.975133667E0,-1.235081635E0,4.927602997E0
1.992044250E0,5.112019501E0,-1.505419464E0,4.111949158E0
2.012001250E0,5.617667999E0,-1.976789246E0,4.104015656E0
2.031958250E0,6.000122681E0,-1.983375549E0,4.830904083E0
2.051914250E0,6.020330658E0,-1.974094849E0,5.410349121E0
2.071871250E0,5.192552032E0,-3.035537567E0,5.010380859E0
2.091828250E0,6.309379578E0,-3.668122101E0,5.282664642E0
2.111784250E0,7.617808685E0,-3.256029053E0,6.022426300E0
2.131741250E0,7.338788910E0,-3.419638824E0,6.594386902E0
2.151698250E0,7.538623352E0,-3.345393219E0,7.233707428E0
2.171654250E0,7.645650787E0,-4.220772858E0,7.208110657E0
2.191611250E0,8.415350189E0,-4.994064789E0,7.812853088E0
2.211567250E0,9.781110077E0,-4.906496887E0,6.982529755E0
2.231524250E0,1.015218842E1,-4.517006836E0,8.137827301E0
2.251481250E0,1.047267197E1,-3.998634796E0,8.148904266E0
2.271437375E0,9.582622833E0,-4.821174316E0,8.497229919E0
2.291394375E0,8.424630890E0,-5.092709656E0,8.282276917E0
2.311351375E0,8.876840515E0,-4.962330780E0,8.389903107E0
2.331307375E0,9.345366211E0,-4.621639252E0,8.281678162E0
2.351264375E0,8.858129425E0,-4.457879791E0,8.295898590E0
2.371220375E0,9.185049591E0,-4.972060547E0,8.031398621E0
2.391177375E0,8.976682892E0,-4.799768829E0,8.023764496E0
2.411134375E0,8.607251129E0,-4.628225555E0,7.948171692E0
2.431090375E0,8.147856445E0,-4.543352051E0,7.812553711E0
2.451047375E0,8.156837769E0,-5.026846619E0,7.163503418E0
2.471004375E0,8.628955994E0,-5.568570099E0,6.778354340E0
2.490960375E0,8.484207001E0,-5.809419250E0,6.445746002E0
2.510917375E0,7.839946747E0,-5.895490265E0,6.363566895E0
2.530873375E0,7.530689850E0,-5.575306091E0,5.639971619E0
2.550830375E0,6.734944611E0,-5.504653015E0,5.676046600E0
2.570787375E0,6.330785065E0,-5.594915314E0,5.605842590E0
2.590743375E0,5.922434235E0,-5.309309235E0,5.660928040E0
2.610700375E0,5.286107483E0,-5.370531921E0,5.756279755E0
2.630656375E0,4.888234863E0,-5.376818848E0,5.787265320E0
2.650613375E0,5.148693237E0,-5.078938293E0,5.830076294E0
2.670570375E0,6.002068634E0,-4.735851746E0,6.022875366E0
2.690526375E0,6.279890900E0,-4.850064240E0,5.881569214E0
2.710483375E0,6.578370209E0,-5.193300476E0,5.582191772E0
2.730440375E0,6.516249390E0,-5.529950409E0,5.527555389E0
2.750396375E0,6.580765228E0,-5.300178223E0,5.629643097E0
2.770353375E0,6.404731293E0,-4.898114319E0,5.614075470E0
2.790309375E0,6.338718567E0,-4.627776489E0,5.399122467E0
2.810266375E0,6.237528992E0,-4.539310455E0,5.258115692E0
2.830223375E0,6.141428833E0,-4.594994659E0,5.614823914E0
2.850179375E0,5.961502991E0,-4.331093445E0,5.390590210E0
2.870136375E0,6.018983459E0,-4.041745148E0,5.274431763E0
2.890093375E0,5.996081085E0,-4.005221100E0,5.433401184E0
2.910049375E0,6.178701324E0,-4.105512543E0,5.482798462E0
2.930006375E0,6.851552124E0,-4.366120605E0,5.534441071E0
2.949962375E0,7.260052643E0,-4.815635834E0,5.388943634E0
2.969919375E0,7.812853088E0,-4.903203735E0,5.381608887E0
2.989876375E0,8.423583069E0,-4.839436340E0,5.247188416E0
3.009832375E0,8.717272339E0,-5.011877747E0,5.198988647E0
3.029789375E0,9.133406982E0,-5.206922150E0,5.264701996E0
3.049745375E0,9.581125946E0,-5.502856750E0,5.404062195E0
3.069702375E0,9.938283234E0,-5.667214966E0,5.012775879E0
3.089659375E0,9.637259216E0,-5.652994537E0,4.997357941E0
3.109615375E0,9.589658203E0,-5.201832733E0,5.227130127E0
3.129572375E0,9.404493256E0,-5.167404327E0,5.448070679E0
3.149529375E0,9.755812683E0,-5.580545197E0,5.526058502E0
3.169485375E0,9.894125061E0,-5.615722046E0,5.191055145E0
3.189442375E0,1.006970993E1,-5.008584595E0,5.008584595E0
3.209398375E0,9.596394196E0,-3.711681519E0,5.203628998E0
3.229355375E0,8.699309692E0,-3.288661194E0,4.859943695E0
3.249312375E0,8.600215759E0,-3.126398621E0,4.283642120E0
3.269267750E0,8.446036377E0,-3.224744110E0,3.872596893E0
3.289224750E0,8.150550842E0,-3.079995117E0,3.040327606E0
3.309181750E0,7.632627869E0,-2.777773590E0,2.641706543E0
3.329137750E0,7.162006531E0,-2.374811554E0,2.394869843E0
3.349094750E0,6.002068634E0,-2.070793762E0,2.260748749E0
3.369050750E0,6.588998108E0,-1.826801147E0,2.609224091E0
3.389007750E0,6.120771790E0,-1.706301727E0,2.966531067E0
3.408964750E0,7.051835632E0,-2.784060516E0,2.129621429E0
3.428920750E0,9.345366211E0,-2.444716187E0,1.547182617E0
3.448877750E0,8.110733643E0,-1.563947754E0,1.529669037E0
3.468834750E0,6.290369110E0,-1.529818726E-1,1.645827484E0
3.488790750E0,5.263953552E0,2.556683350E-1,2.745440826E0
3.508747750E0,8.258775787E0,-9.741741943E-1,1.808539124E0
3.528703750E0,1.092533066E1,-2.386038208E0,1.745370483E-1
3.548660750E0,9.907597046E0,-3.308869171E0,-3.653901672E-1
3.568617750E0,8.617280273E0,-3.560944977E0,8.722361755E-1
3.588573750E0,8.773255920E0,-3.132086792E0,1.578317871E0
3.608530750E0,9.597292328E0,-2.843187561E0,1.928888855E0
3.628487750E0,1.011401779E1,-3.568728790E0,1.390757904E0
3.648443750E0,1.155791519E1,-3.491938477E0,9.428892517E-1
3.668400750E0,1.118758530E1,-4.467010803E0,9.330097961E-1
3.688356750E0,9.537267151E0,-4.072581024E0,1.725611572E0
3.708313750E0,8.475525055E0,-3.333567810E0,1.727258148E0
3.728270750E0,1.038615189E1,-3.027903442E0,1.342857513E0
3.748226750E0,1.167811523E1,-2.421364746E0,1.229992218E0
3.768183750E0,1.038136185E1,-3.013832703E0,-7.074288940E-1
3.788140750E0,6.418053589E0,-2.638862457E0,7.593708801E-1
3.808096750E0,7.965385895E0,-1.434017944E-1,1.397194519E0
3.828053750E0,6.320157166E0,-1.344204712E-1,2.334694977E0
3.848009750E0,9.014105072E0,-4.827461243E-1,1.998344421E0
3.867966750E0,9.333540802E0,-8.548722839E-1,1.082848206E0
3.887923750E0,9.957293701E0,-1.028361511E0,1.562001801E0
3.907879750E0,1.211849945E1,-7.756869507E-1,1.552122345E0
3.927836750E0,1.070094727E1,5.203179932E-1,-1.473086700E0
3.947793750E0,8.513995056E0,-3.397484894E0,-1.417851562E0
3.967749750E0,8.084987183E0,-5.459447021E0,-1.098864899E0
3.987706750E0,7.837551727E0,-5.332810364E0,1.804497528E0
4.007663750E0,9.963580627E0,-3.929179230E0,2.120041351E0
4.027619750E0,1.041818527E1,-2.671494598E0,8.711883545E-1
4.047576750E0,8.464897156E0,-3.442840576E0,-9.699829102E-2
4.067532750E0,8.968300323E0,-4.475992126E0,-1.873653717E0
4.087489750E0,1.039228912E1,-3.799249420E0,-1.670226746E0
4.107446750E0,9.978100433E0,-2.536325684E0,5.292993164E-1
4.127402750E0,7.959248657E0,-1.532662811E0,-3.830534363E-1
4.147359750E0,7.863597565E0,-2.513123932E0,1.215921478E0
4.167316750E0,9.288334808E0,-2.666105804E0,8.376580811E-1
4.187272750E0,9.505233765E0,-3.931125183E0,-2.748284912E-1
4.207229750E0,1.091889404E1,-4.710554352E0,3.817062378E-1
4.227185750E0,8.818461914E0,-4.404440918E0,1.063688049E0
4.247142750E0,8.022117920E0,-4.304299164E0,1.536255341E0
4.267100625E0,8.499175873E0,-4.755011902E0,1.195713501E0
4.287056625E0,8.296048279E0,-5.276377716E0,5.007087708E-1
4.307013625E0,1.044153671E1,-5.371879120E0,-2.658471680E-1
4.326970625E0,9.796827393E0,-4.051175537E0,6.716532898E-1
4.346926625E0,7.309449921E0,-3.589236145E0,1.160686340E0
4.366883625E0,7.802374878E0,-4.533921661E0,9.116043091E-1
4.386839625E0,7.348818054E0,-5.627996521E0,5.406756592E-1
4.406796625E0,9.682614899E0,-5.740712128E0,4.553530884E-1
4.426753625E0,8.096962280E0,-5.773793335E0,6.243516541E-1
4.446709625E0,6.885980530E0,-5.175188141E0,7.093748474E-1
4.466666625E0,6.913074188E0,-5.458099823E0,7.559280396E-1
4.486623625E0,8.571625214E0,-5.104535065E0,-3.234773254E-1
4.506579625E0,7.687863007E0,-6.424639893E0,7.249424744E-1
4.526536625E0,6.845564575E0,-6.223308563E0,-3.237767029E-1
4.546493625E0,5.529651031E0,-6.117179260E0,-3.264710999E-1
4.566449625E0,5.677393799E0,-6.139183502E0,-1.914518738E-1
4.586406625E0,7.871680756E0,-1.146181503E1,-2.359094238E-1
4.606362625E0,5.962401123E0,-8.653055878E0,4.902305603E-1
4.626319625E0,6.247558136E0,-8.135581970E0,2.094743958E0
4.646276625E0,5.561684418E0,-7.632478180E0,1.184486847E0
4.666232625E0,5.827830963E0,-8.246651001E0,-5.703140259E-2
4.686189625E0,5.733377380E0,-7.696245575E0,-2.088157654E-1
4.706146625E0,4.685107269E0,-7.830067291E0,-1.451980591E-2
4.726102625E0,4.945565643E0,-8.187224579E0,5.089416504E-2
4.746059625E0,5.331912231E0,-8.414152679E0,-8.247848511E-2
4.766016625E0,7.090455322E0,-7.951015778E0,-6.563850403E-1
4.785972625E0,4.519701233E0,-8.465046844E0,7.694000244E-1
4.805929625E0,4.612508240E0,-6.829547882E0,-3.472778320E-2
4.825886625E0,4.793182526E0,-9.143286438E0,-7.071295166E-1
4.845842625E0,4.034709778E0,-8.936865692E0,6.301895142E-2
4.865799625E0,5.055886230E0,-8.855435028E0,3.517684937E-2
4.885755625E0,5.266498260E0,-8.841963043E0,-8.788224792E-1
4.905712625E0,4.391417999E0,-8.825048218E0,-8.056246948E-1
4.925669625E0,2.318678284E0,-7.930658112E0,-3.381468201E-1
4.945625625E0,4.304748230E0,-9.145831146E0,-1.899549866E0
4.965582625E0,2.753074951E0,-9.108259277E0,-2.472109222E0
4.985539625E0,4.857698364E0,-6.530769196E0,-1.166374512E0
5.005495625E0,5.405708771E0,-5.933211823E0,4.325255585E0
5.025452625E0,1.245260468E0,-8.263416138E0,-1.726809082E0
5.045409625E0,1.703457642E0,-9.326954498E0,-3.674409027E0
5.065365625E0,2.783761139E0,-9.642947388E0,-1.741478577E0
5.085322625E0,4.734055481E0,-1.170580765E1,-9.765692139E-1
5.105279625E0,3.668571167E0,-1.353470444E1,-1.361119537E0
5.125235625E0,2.340981903E0,-1.252220993E1,-1.062191162E0
5.145192625E0,1.375339966E0,-1.001791763E1,-1.410666504E0
5.165149625E0,8.493338013E-1,-8.421487427E0,-1.203497314E0
5.185105625E0,3.553610229E-1,-8.470735016E0,-4.599934387E-1
5.205062625E0,1.035546570E0,-8.671617279E0,-8.137078857E-1
5.225019625E0,1.399589539E0,-8.425529022E0,-1.264420624E0
5.244975625E0,1.132993927E0,-8.486452332E0,-8.921447754E-1
5.264932042E0,1.507066040E0,-7.447163544E0,-7.063810730E-1
5.284889041E0,1.765877838E0,-7.198530579E0,-7.575746155E-1
5.304845042E0,2.009571075E0,-7.950117645E0,-2.213896179E-1
5.324802042E0,2.379302216E0,-7.976313171E0,1.881587219E-1
5.344759041E0,2.498155060E0,-7.940537567E0,2.103126526E-1
5.364715042E0,1.378483429E0,-8.286468201E0,-8.831634521E-2
5.384672042E0,1.314117279E0,-9.807006226E0,-1.033001862E0
5.404629041E0,2.721640320E0,-9.503736877E0,-3.438349915E-1
5.424585042E0,2.922372894E0,-6.717880096E0,-1.341210938E-1
5.444542042E0,2.268532562E0,-5.013823700E0,4.201762390E-1
5.464499041E0,1.129700775E0,-3.512894897E0,4.899311829E-1
5.484455042E0,7.505392456E-1,-2.672392731E0,-3.516188049E-1
5.504412042E0,3.847000122E-2,-2.539469147E0,5.210664368E-1
5.524369041E0,-1.618135071E-1,-2.595752106E0,1.805994415E0
5.544325042E0,-3.677851868E-1,-4.386627960E0,7.411088562E-1
5.564282042E0,-4.389172668E0,-2.721056534E1,3.505410461E0
5.594217042E0,7.575596466E0,-1.740834915E1,1.036295013E0
5.614174041E0,4.353546753E0,-6.889123993E0,2.964435425E0
5.634130042E0,-1.547931061E0,-7.748037872E0,1.961371307E0
5.654087042E0,-2.100731506E0,-8.199648743E0,-6.436614990E-3
5.674044041E0,-2.987786865E-1,-9.850415955E0,-1.911824341E0
5.694000042E0,1.597478027E0,-9.994416504E0,-4.358935547E-1
5.713957042E0,-1.395847321E0,-9.324559479E0,-2.513872375E0
5.733914041E0,-9.039701843E-1,-9.414372711E0,-1.098715210E0
5.753870042E0,-1.757794647E0,-1.044752426E1,1.951192474E0
5.773827041E0,-2.165397034E0,-1.051997360E1,2.647394714E0
5.793784041E0,-1.582060089E0,-9.968071289E0,1.392554169E0
5.813741041E0,-8.466394043E-1,-9.853858795E0,5.101391602E-1
5.833697041E0,-4.499642944E-1,-9.756561127E0,5.752537537E-1
5.853654041E0,-1.845661926E-1,-9.614805908E0,8.286767578E-1
5.873611041E0,-4.634362793E-1,-9.481433258E0,5.673202515E-1
5.893567041E0,-6.658154297E-1,-9.384434967E0,6.900650024E-2
5.913524041E0,-9.092092896E-1,-9.696835327E0,-1.784289551E-1
5.933481041E0,-1.323847046E0,-9.905651093E0,-1.034349060E-1
5.953437041E0,-1.509760437E0,-9.963880005E0,1.083746338E-1
5.973394041E0,-1.387015686E0,-9.846673737E0,3.549119568E-1
5.993351041E0,-1.260229340E0,-9.669591980E0,5.921685791E-1
6.013307041E0,-1.079854431E0,-9.610464935E0,8.126600647E-1
6.033264041E0,-9.681866455E-1,-9.602980499E0,8.526269531E-1
6.053221041E0,-8.457412720E-1,-9.706565094E0,6.219566345E-1
6.073177041E0,-1.169068909E-1,-9.461973724E0,6.460565186E-1
6.093134041E0,-8.891510010E-2,-1.004052063E1,5.367837524E-1
6.113091041E0,1.440005493E-1,-9.698182526E0,9.008267212E-1
6.133047041E0,-7.370672607E-1,-1.005983047E1,7.316784668E-1
6.153004041E0,-9.702822876E-1,-1.016640884E1,1.351090393E0
6.172961041E0,-5.876779175E-1,-9.574389954E0,1.679657135E0
6.192917041E0,-9.636959839E-1,-1.012569351E1,1.458417206E0
6.212874041E0,-1.478625183E0,-9.702224121E0,8.872050476E-1
6.232831041E0,-6.014492798E-1,-7.469616852E0,1.324745178E-1
6.252787041E0,-8.954379272E-1,-9.327104187E0,3.507206726E-1
6.272744291E0,-1.446591797E0,-9.373956757E0,-9.196875000E-1
6.292701291E0,-1.218466187E-1,-9.493108978E0,-3.174897766E-1
6.312657292E0,2.188449097E-1,-1.122620499E1,1.188528442E0
6.332614291E0,-1.172511749E0,-1.146421005E1,3.524121552E0
6.352571291E0,-7.138655090E-1,-9.867929535E0,1.890718231E0
6.372527292E0,-1.146914978E0,-1.037597305E1,2.897075500E0
6.392484291E0,-1.749711456E0,-1.008108627E1,9.849517822E-2
6.412440292E0,-1.635498962E0,-1.084255280E1,-2.248324585E-1
6.432397292E0,-2.136357422E0,-1.342558136E1,5.526507568E-1
6.452354291E0,-1.867067413E0,-1.424946808E1,1.402583313E-1
6.472310292E0,-5.137316895E-1,-1.247865051E1,7.863148499E-1
6.492267292E0,1.919009399E-1,-1.218376373E1,1.014590149E0
6.512224291E0,8.568182373E-1,-1.170640640E1,5.812413025E-1
6.532180292E0,9.187893677E-1,-1.096799194E1,1.600172424E-1
6.552137292E0,5.144801331E-1,-1.055215668E1,8.714877319E-1
6.572094291E0,-2.164498901E-1,-1.002854553E1,2.663411407E0
6.592050292E0,-3.992198181E-1,-9.248966675E0,1.729802856E0
6.612007292E0,-8.036787415E-1,-1.010353958E1,1.935774536E0
6.631964291E0,-3.990102539E0,-2.494712219E0,1.084494781E0
6.651920292E0,-3.938908997E0,-5.703289948E0,1.363215179E0
6.671877292E0,-3.839515686E0,-5.555397491E0,-1.546284485E-1
6.691834291E0,8.628057861E-1,-8.730145569E0,-1.305135956E0
6.711790292E0,2.921175385E0,-8.474926300E0,1.147513733E0
6.731747292E0,5.086273041E0,-8.249644775E0,4.253404999E0
6.751704291E0,6.066434784E0,-6.504124603E0,3.279380493E0
6.771660292E0,2.767894135E0,-9.225465546E0,2.193837891E0
6.791617292E0,1.174158325E0,-8.158184967E0,1.680704956E0
6.811574291E0,1.294358368E0,-8.889863434E0,1.680255890E0
6.831530292E0,1.207838287E0,-9.386680298E0,1.945803680E0
6.851487292E0,6.303392029E-1,-1.005863297E1,2.053729248E0
6.871444291E0,2.019001465E0,-1.002689896E1,2.162702637E0
6.891400292E0,1.198258209E0,-1.024424698E1,2.137105865E0
6.911357292E0,1.478774872E0,-9.022637329E0,1.803898773E0
6.931314291E0,5.599855042E-1,-9.289981384E0,1.145717468E0
6.951270292E0,-9.415420532E-2,-1.035022659E1,1.641037445E0
6.971227292E0,6.312373352E-1,-1.026670029E1,1.525777130E0
6.991184291E0,1.761686554E0,-9.133406982E0,1.688189392E0
