"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.788264416770086E9,"2026-09-01 20:06:56.770 UTC+08:00"
"PAUSE",1.827111820916645E3,1.788266243874795E9,"2026-09-01 20:37:23.875 UTC+08:00"
