"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.769625250E0,1.010183930E0,2.526548207E-1,-2.476447821E-1
1.789788250E0,4.442246854E-1,4.309215546E-1,-2.007209361E-1
1.809951250E0,-2.213526368E-1,5.000388622E-1,-1.661588848E-1
1.830114250E0,-8.441854715E-1,4.114354849E-1,-1.232988611E-1
1.850277250E0,-1.292727947E0,3.472460806E-1,-8.511275798E-2
1.870441250E0,-1.508221388E0,2.957083583E-1,-2.321595848E-1
1.890604250E0,-1.724698067E0,3.406310380E-1,-3.779996932E-1
1.910767250E0,-2.127524853E0,5.652912855E-1,-4.253957272E-1
1.930930250E0,-2.477088690E0,8.172545433E-1,-3.275334239E-1
1.951093250E0,-2.672030687E0,9.680012465E-1,-2.193906009E-1
1.971256250E0,-3.181675911E0,1.031016946E0,-1.102360487E-1
1.991420250E0,-3.673227549E0,1.207938910E0,-3.272300959E-2
2.011583250E0,-3.595126867E0,1.494577289E0,-1.552592148E-3
2.031746250E0,-3.337928772E0,1.453624606E0,6.672435254E-2
2.051909250E0,-3.554173470E0,8.010307550E-1,2.444926500E-1
2.072072250E0,-3.755019426E0,8.871138096E-2,3.989195526E-1
2.092235250E0,-3.267267466E0,-1.437512785E-1,4.710583985E-1
2.112398250E0,-2.248800993E0,1.939354539E-1,3.859063089E-1
2.132562250E0,-1.859742880E0,1.585752219E-1,3.069986105E-1
2.152725250E0,-1.277506232E0,-3.381984234E-1,2.822072804E-1
2.172888250E0,-4.966528118E-1,-6.153166890E-1,1.620412767E-1
2.193051250E0,2.926008999E-1,-6.264935732E-1,2.973614074E-2
2.213214250E0,1.021833658E0,-3.472574949E-1,-9.070261568E-2
2.233377250E0,1.516858459E0,-1.955432147E-1,-2.451903820E-1
2.253541250E0,1.759133220E0,-2.993835509E-1,-2.786723077E-1
2.273704250E0,1.898440361E0,-5.301042199E-1,-2.000161707E-1
2.293867250E0,2.066906691E0,-6.554291844E-1,-1.431398243E-1
2.314030250E0,2.351126432E0,-5.721308589E-1,-1.130049154E-1
2.334193250E0,2.698827982E0,-6.559793949E-1,-8.188341558E-2
2.354356250E0,2.839191675E0,-8.671892881E-1,-4.689977039E-3
2.374520250E0,2.881835461E0,-1.121464491E0,8.216625452E-2
2.394683250E0,2.968114376E0,-1.345911384E0,1.112077683E-1
2.414846250E0,3.037420034E0,-1.407092929E0,5.576653779E-2
2.435009250E0,3.049708605E0,-1.197847009E0,-4.359411448E-2
2.455172250E0,2.862042665E0,-7.535853982E-1,-7.557005435E-2
2.475335250E0,2.393461466E0,-3.545821905E-1,-6.178055331E-2
2.495499250E0,1.844348311E0,-8.555875719E-2,-1.084758192E-1
2.515662250E0,1.445449471E0,2.000840381E-2,-2.022139281E-1
2.535825250E0,1.086009622E0,6.282761693E-2,-2.665677667E-1
2.555988250E0,7.491719127E-1,2.079533488E-1,-3.231993020E-1
2.576151250E0,3.488000035E-1,4.289598465E-1,-3.740837872E-1
2.596314250E0,-1.299163252E-1,5.601019859E-1,-3.996572196E-1
2.616477250E0,-6.960067749E-1,6.853711605E-1,-3.364459872E-1
2.636641250E0,-1.077840805E0,9.953432083E-1,-2.541385293E-1
2.656804250E0,-1.503302932E0,1.463629961E0,-2.544274181E-2
2.676967250E0,-2.073506355E0,1.933383822E0,1.467910111E-1
2.697130250E0,-2.418639898E0,2.222110987E0,-9.127995372E-2
2.717293458E0,-2.589274168E0,2.165484905E0,-3.442635536E-1
2.737457458E0,-2.547717333E0,1.849103689E0,-1.703763753E-1
2.757620458E0,-2.412383556E0,1.255075336E0,1.975507587E-1
2.777783458E0,-2.368993044E0,8.193359971E-1,2.171703428E-1
2.797946458E0,-2.531105995E0,6.899131536E-1,6.979966164E-2
2.818109458E0,-2.602866173E0,6.824368834E-1,6.122004241E-2
2.838272458E0,-2.369238377E0,7.134013772E-1,2.203242928E-1
2.858436458E0,-2.235707998E0,4.242065847E-1,2.786593139E-1
2.878599458E0,-2.177264214E0,1.425946504E-1,3.207190633E-1
2.898762458E0,-2.030376911E0,1.539845020E-1,2.944510579E-1
2.918925458E0,-1.590396404E0,4.073211551E-1,2.226498574E-1
2.939088458E0,-1.114315748E0,3.846940100E-1,5.381780863E-2
2.959251458E0,-7.890260816E-1,-9.292244911E-2,9.105975740E-3
2.979415458E0,-6.052775979E-1,-6.226692200E-1,1.380244344E-1
2.999578458E0,-2.093531638E-1,-7.860648632E-1,2.309260666E-1
3.019741458E0,3.684706390E-1,-6.787987947E-1,1.360827535E-1
3.039904458E0,8.145881891E-1,-5.885893106E-1,8.637174033E-3
3.060067458E0,1.212292671E0,-6.792709827E-1,-2.179940045E-2
3.080230458E0,1.660950065E0,-1.026791096E0,-1.160987392E-1
3.100394458E0,2.294609785E0,-1.391196489E0,-3.135125041E-1
3.120557458E0,2.650384903E0,-1.493899107E0,-4.763937891E-1
3.140720458E0,2.949044466E0,-1.415961862E0,-5.867359042E-1
3.160883458E0,3.359583616E0,-1.253816605E0,-6.976507306E-1
3.181046458E0,3.636755228E0,-1.033427954E0,-7.170281410E-1
3.201210458E0,3.661750793E0,-1.039667010E0,-5.633949637E-1
3.221373458E0,3.605419636E0,-1.208414078E0,-4.463651776E-1
3.241536458E0,3.388418436E0,-1.367297769E0,-4.102263749E-1
3.261699458E0,2.994913816E0,-1.192933321E0,-3.790759742E-1
3.281862458E0,2.608978987E0,-8.130697012E-1,-3.678795695E-1
3.302025458E0,2.369575739E0,-5.956290960E-1,-4.371728897E-1
3.322189458E0,2.237770081E0,-6.548786759E-1,-5.760126710E-1
3.342352458E0,1.738550305E0,-8.523857594E-1,-6.995134354E-1
3.362515458E0,1.007801890E0,-1.134428024E0,-8.495208025E-1
3.382678458E0,-7.889720201E-1,-4.475959763E-2,-5.545032620E-1
3.402841458E0,-2.418069363E0,1.576209426E0,4.025325552E-2
3.423005458E0,-2.585898399E0,1.841578722E0,2.645847499E-1
3.443168458E0,-2.089071035E0,7.356442213E-1,-1.687750518E-1
3.463331458E0,-2.846828461E0,3.668609560E-1,-4.709635675E-1
3.483494458E0,-3.948461771E0,9.924175739E-1,-4.051799327E-2
3.503657458E0,-4.392385006E0,1.795503855E0,5.969262719E-1
3.523820458E0,-4.396003723E0,2.005377531E0,8.186224103E-1
3.543984458E0,-4.277975559E0,1.404620051E0,7.174864411E-1
3.564147458E0,-4.056231499E0,6.231845617E-1,6.684379578E-1
3.584310458E0,-3.433300495E0,3.674106002E-1,6.691251397E-1
3.604473458E0,-2.718826056E0,5.600393414E-1,6.244080663E-1
3.624636458E0,-2.539475918E0,5.984687209E-1,5.914207697E-1
3.644800458E0,-2.378667831E0,6.107108593E-1,6.476895213E-1
3.664963458E0,-1.794500589E0,5.233486295E-1,5.303576589E-1
3.685126458E0,-7.217807770E-1,4.685191214E-1,2.967311144E-1
3.705289458E0,-5.779183656E-2,1.628176272E-1,2.066093385E-1
3.725452333E0,2.590292990E-1,-2.475517243E-1,3.235934675E-1
3.745615333E0,8.145458698E-1,-4.527938962E-1,3.142137825E-1
3.765779333E0,1.318905354E0,-2.745435536E-1,1.430902034E-1
3.785942333E0,1.552605867E0,-1.360779107E-1,1.620093547E-2
3.806105333E0,1.821460128E0,-2.887143493E-1,7.540530711E-2
3.826268333E0,1.930033565E0,-8.730859756E-1,1.303558052E-1
3.846431333E0,1.664443970E0,-1.203374147E0,1.684476882E-1
3.866595333E0,1.692938924E0,-9.778119326E-1,2.701777816E-1
3.886758333E0,1.542378426E0,-2.859693170E-1,5.041847229E-1
3.906921333E0,3.681931794E-1,6.553087831E-1,7.128692865E-1
3.927084333E0,8.814551234E-1,-4.460826144E-2,2.721169293E-1
3.947247333E0,2.101307392E0,-1.652652860E0,-4.851564765E-1
3.967411333E0,2.480505466E0,-2.382701397E0,-9.727688432E-1
3.987574333E0,2.526582718E0,-1.919403672E0,-1.158516645E0
4.007737333E0,2.628233671E0,-7.901055217E-1,-1.259684682E0
4.027900333E0,2.691632986E0,1.706956141E-2,-1.127850652E0
4.048063333E0,2.512887478E0,2.116660178E-1,-8.246511221E-1
4.068227333E0,2.065473795E0,1.583450288E-2,-5.007473230E-1
4.088390333E0,1.415214539E0,-1.141827330E-1,-1.943884939E-1
4.108553333E0,7.431819439E-1,-4.785743356E-2,-1.429003850E-2
4.128716333E0,2.665298581E-1,2.329986989E-1,1.348851323E-1
4.148879333E0,6.318616867E-2,3.284514248E-1,1.782014221E-1
4.169042333E0,-1.513707340E-1,1.836367399E-1,1.229890585E-1
4.189206333E0,-5.288467407E-1,8.110545576E-2,2.312313206E-2
4.209369333E0,-1.039926767E0,3.237254918E-3,-7.274147123E-2
4.229532333E0,-1.326050878E0,2.077352256E-2,-1.261382103E-1
4.249695333E0,-1.258038998E0,1.857006550E-1,-1.524308473E-1
4.269858333E0,-1.071153998E0,4.546052516E-1,-1.602462828E-1
4.290022333E0,-1.109127045E0,3.099013567E-1,-4.127080142E-1
4.310185333E0,-1.671704650E0,-2.973801494E-1,-4.618945122E-1
4.330348333E0,-2.495600224E0,4.497557133E-2,4.785695672E-2
4.350511333E0,-3.325173855E0,1.655679941E0,6.745033264E-1
4.370674333E0,-3.848353624E0,3.364868164E0,7.285842896E-1
4.390838333E0,-3.838115215E0,4.351682663E0,3.979839683E-1
4.411001333E0,-3.473809481E0,3.144974232E0,3.191550970E-1
4.431164333E0,-3.106650591E0,8.985090256E-1,4.652762413E-1
4.451327333E0,-2.806006908E0,-4.643306136E-1,3.190431893E-1
4.471490333E0,-2.523113728E0,-7.099792361E-1,1.631849855E-1
4.491654333E0,-2.022153854E0,-4.745630622E-1,1.381726861E-1
4.511817333E0,-1.303506255E0,-2.658903897E-1,1.203903779E-1
4.531980333E0,-5.123890042E-1,-5.219515562E-1,-5.005791411E-2
4.552143333E0,1.222000569E-1,-7.393252254E-1,-3.011961579E-1
4.572306333E0,8.848330975E-1,-5.156114101E-1,-4.975210428E-1
4.592470333E0,1.340440273E0,-1.844787449E-1,-7.028151751E-1
4.612633333E0,1.467647910E0,6.398693658E-3,-6.002460718E-1
4.632796333E0,1.859123707E0,1.125430837E-1,-1.241353378E-1
4.652959333E0,2.431857109E0,-9.621910006E-2,4.606631398E-1
4.673122333E0,2.697327852E0,-7.606822848E-1,7.262860537E-1
4.693286333E0,2.976747990E0,-1.577809095E0,7.536776066E-1
4.713449333E0,3.654255152E0,-2.150367737E0,5.936041474E-1
4.733613000E0,4.317704201E0,-2.341093302E0,3.974414766E-1
4.753776000E0,4.600092888E0,-2.309844732E0,2.839818001E-1
4.773939000E0,4.542407990E0,-1.965371609E0,2.838416994E-1
4.794103000E0,4.046288967E0,-1.523689270E0,3.147569299E-1
4.814266000E0,3.360134840E0,-1.504163504E0,2.098101676E-1
4.834429000E0,3.195683956E0,-1.267266989E0,-6.050267071E-2
4.854592000E0,3.374991894E0,-1.038807273E0,-4.013456702E-1
4.874756000E0,2.806330919E0,-7.937523723E-1,-6.050904989E-1
4.894919000E0,1.379910707E0,-4.556893110E-1,-4.845084548E-1
4.915082000E0,-7.164303660E-1,5.762505531E-2,-1.794262677E-1
4.935245000E0,-3.119907856E0,9.535967112E-1,2.922676802E-1
4.955408000E0,-4.496416092E0,1.374227643E0,4.827117920E-1
4.975572000E0,-4.256103039E0,1.275379539E0,1.164500862E-1
4.995735000E0,-3.293637037E0,1.141890764E0,-6.199800372E-1
5.015898000E0,-3.014096498E0,1.782705426E0,-9.314985275E-1
5.036061000E0,-3.321882725E0,2.319381237E0,-6.817989945E-1
5.056224000E0,-3.631130219E0,2.084150314E0,-3.710897863E-1
5.076388000E0,-3.576582432E0,1.601895094E0,-2.128060460E-1
5.096551000E0,-3.483039856E0,1.233154416E0,-2.367857471E-2
5.116714000E0,-3.473967075E0,1.269659877E0,3.228062689E-1
5.136877000E0,-3.464936256E0,1.181791306E0,4.724247754E-1
5.157041000E0,-3.368309975E0,5.656030774E-1,3.593941331E-1
5.177204000E0,-2.672177792E0,-3.222500682E-1,3.505316973E-1
5.197367000E0,-1.641247034E0,-7.434239388E-1,3.426241875E-1
5.217530000E0,-9.769137502E-1,-6.644974351E-1,3.602274358E-1
5.237693000E0,-9.818150401E-1,-3.750624657E-1,1.642370671E-1
5.257857000E0,-4.106431007E-1,-1.743026078E-1,-1.009906903E-1
5.278020000E0,2.621254027E-1,-1.007573605E-1,-4.559495747E-1
5.298183000E0,6.389034390E-1,2.090158174E-3,-6.431153417E-1
5.318346000E0,1.048980117E0,1.281675100E-1,-5.433875918E-1
5.338509000E0,1.447317243E0,-1.990823448E-1,-4.571392238E-1
5.358673000E0,2.018582582E0,-9.922728539E-1,-5.423241854E-1
5.378836000E0,2.375585318E0,-1.887809992E0,-6.636800170E-1
5.398999000E0,2.543980360E0,-1.463548183E0,-4.644939005E-1
5.419162000E0,2.650883436E0,-3.702972233E-1,-1.115773171E-1
5.439326000E0,2.803635359E0,-1.449674666E-1,4.146140814E-2
5.459489000E0,2.678499699E0,-2.799083591E-1,2.022462338E-1
5.479652000E0,3.042989731E0,-7.611753345E-1,5.610218272E-2
5.499815000E0,3.326097488E0,-1.619360566E0,-1.670409292E-1
5.519978000E0,3.002693176E0,-2.147959232E0,-2.724263668E-1
5.540142000E0,2.524932623E0,-1.782115459E0,-1.133200452E-1
5.560305000E0,2.080509901E0,-9.933596849E-1,1.204465516E-2
5.580468000E0,1.601092100E0,-5.647985935E-1,8.269977756E-3
5.600631000E0,1.360639215E0,-3.901623487E-1,-9.934696555E-2
5.620795000E0,1.237233281E0,-2.571279109E-1,-2.081998140E-1
5.640958000E0,1.049117446E0,-1.492843330E-1,-2.792845666E-1
5.661121000E0,8.010802269E-1,-2.770323306E-2,-2.940534055E-1
5.681284000E0,5.243669152E-1,1.785380095E-1,-2.956198454E-1
5.701447000E0,2.237087041E-1,4.696013033E-1,-2.875492871E-1
5.721610375E0,-1.835551709E-1,7.665254474E-1,-1.583431810E-1
5.741773375E0,-5.677528381E-1,1.083347440E0,7.186524570E-2
5.761936375E0,-8.193397522E-1,1.222874284E0,2.646897435E-1
5.782099375E0,-9.787935019E-1,1.164077282E0,2.640296817E-1
5.802263375E0,-1.297560215E0,9.779766202E-1,2.717537880E-1
5.822426375E0,-1.774292588E0,8.460803628E-1,4.687360823E-1
5.842589375E0,-1.837558270E0,9.119303823E-1,6.465405226E-1
5.862752375E0,-1.275718808E0,7.231435180E-1,4.932401180E-1
5.882915375E0,-1.376734495E0,4.188340604E-1,3.989897668E-1
5.903079375E0,-2.596312046E0,6.756885052E-1,8.837593794E-1
5.923242375E0,-3.309429407E0,1.133046150E0,1.516588926E0
5.943405375E0,-3.187048912E0,9.708024263E-1,1.403658986E0
5.963568375E0,-3.281924963E0,2.244748771E-1,9.999848604E-1
5.983732375E0,-3.236594915E0,-5.460014939E-1,7.301931977E-1
6.003895375E0,-2.572045565E0,-6.349033713E-1,4.627924562E-1
6.024058375E0,-1.725078225E0,-3.809542060E-1,1.191117987E-2
6.044221375E0,-6.451622844E-1,2.196897119E-1,-3.860072792E-1
6.064384375E0,1.932246834E-1,3.594566584E-1,-4.317350686E-1
6.084548375E0,7.181318402E-1,3.588097692E-1,-2.959561944E-1
6.104711375E0,8.835046291E-1,-2.645972744E-2,-1.259786934E-1
6.124874375E0,1.233037591E0,-3.053523600E-1,1.987939328E-2
6.145037375E0,1.683384895E0,-5.057219267E-1,-1.965297386E-2
6.165201375E0,2.128584146E0,-7.970001698E-1,-6.254335865E-3
6.185364375E0,2.471899033E0,-1.285627365E0,-3.385170922E-2
6.205527375E0,2.545795679E0,-1.645923734E0,-1.580975056E-1
6.225690375E0,2.494375229E0,-1.666646957E0,-3.009446561E-1
6.245854375E0,2.474716902E0,-1.467162013E0,-4.555480480E-1
6.266017375E0,2.427468061E0,-1.295162678E0,-6.587681174E-1
6.286180375E0,2.197685242E0,-1.066743731E0,-7.284916043E-1
6.306343375E0,1.861196160E0,-7.955529094E-1,-5.616742969E-1
6.326506375E0,1.713322043E0,-5.674793124E-1,-4.051796496E-1
6.346670375E0,1.802961349E0,-2.611319721E-1,-4.443403780E-1
6.366833375E0,1.698866963E0,1.304019392E-1,-5.049987435E-1
6.386996375E0,1.515167594E0,3.518734574E-1,-5.143900514E-1
6.407159375E0,1.440449715E0,9.848453104E-2,-5.636019707E-1
6.427323375E0,7.832637429E-1,-2.540451288E-1,-5.564240217E-1
6.447486375E0,-8.294889927E-1,-2.368115187E-1,-3.545049429E-1
6.467649375E0,-2.079120398E0,2.501473725E-1,-1.659321487E-1
6.487812375E0,-3.009196281E0,1.407677054E0,2.424301058E-1
6.507976375E0,-3.613585234E0,2.161237955E0,3.768368959E-1
6.528139375E0,-3.495677948E0,1.816927433E0,-2.876418084E-2
6.548302375E0,-3.211871624E0,1.157576561E0,-6.189497113E-1
6.568465375E0,-3.272498131E0,1.168377280E0,-6.839598417E-1
6.588629375E0,-3.517903566E0,1.489532351E0,-4.532991052E-1
6.608792375E0,-3.882355452E0,1.192205548E0,-2.941413224E-1
6.628955375E0,-3.713302851E0,6.349445581E-1,-1.616413146E-1
6.649118375E0,-3.497299910E0,5.289505422E-2,-2.648232281E-1
6.669282375E0,-2.905442953E0,-7.312370539E-1,-3.409356177E-1
6.689445375E0,-1.290406942E0,4.774921536E-1,7.482009381E-2
6.709608375E0,-1.002964973E0,6.534070373E-1,5.124917999E-2
6.729771000E0,-5.265861750E-1,3.070241809E-1,1.575743556E-1
6.749934000E0,1.459418982E-1,-3.786849380E-1,2.496858984E-1
6.770098000E0,9.545455575E-1,-2.924588621E-1,3.596606553E-1
6.790261000E0,1.556869745E0,-1.370310485E-1,4.608817399E-1
6.810424000E0,1.787516117E0,-4.889683127E-1,5.657999516E-1
6.830587000E0,2.014075994E0,-9.155980945E-1,6.293348074E-1
6.850751000E0,2.484083652E0,-1.265045881E0,5.966689587E-1
6.870914000E0,2.854020834E0,-1.400112391E0,4.291061163E-1
6.891077000E0,3.182944059E0,-1.245025516E0,3.917446136E-1
6.911240000E0,3.720241070E0,-1.086867213E0,4.247739017E-1
6.931404000E0,3.928682089E0,-1.271879792E0,3.693934679E-1
6.951567000E0,3.781748772E0,-1.221796989E0,4.221116006E-1
6.971730000E0,3.427397251E0,-1.058831811E0,5.486682653E-1
6.991893000E0,2.826325178E0,-8.222628832E-1,4.511549771E-1
7.012057000E0,2.150653362E0,-6.650111079E-1,2.540170848E-1
7.032220000E0,1.419004321E0,-6.321580410E-1,1.281556040E-1
7.052383000E0,7.714813352E-1,-5.550825596E-1,-8.120844513E-2
7.072547000E0,4.556690156E-1,-3.351296782E-1,-3.927895129E-1
7.092710000E0,4.808400571E-1,-1.390743703E-1,-8.177408576E-1
7.112873000E0,5.606848001E-1,1.242559403E-2,-1.085597277E0
7.133036000E0,3.935088813E-1,1.190599352E-1,-1.027874470E0
7.153200000E0,-9.947276115E-2,-2.573057450E-2,-8.287383914E-1
7.173363000E0,-7.824093699E-1,-1.811374277E-1,-6.213163137E-1
7.193526000E0,-1.185766101E0,1.059150696E-1,-4.441169202E-1
7.213689000E0,-1.224118233E0,6.386357546E-1,-3.798336983E-1
7.233853000E0,-1.233357668E0,9.285305738E-1,-2.801874578E-1
7.254016000E0,-1.213401675E0,9.964975715E-1,-2.279606760E-1
7.274179000E0,-1.220086575E0,8.170737624E-1,-2.010609210E-1
7.294342000E0,-1.516589880E0,5.209458470E-1,-1.622724235E-1
7.314506000E0,-2.253840208E0,2.784858644E-2,-4.268664494E-2
7.334669000E0,-2.594682693E0,-3.041663766E-1,-6.257834844E-3
7.354832000E0,-2.570594072E0,-1.996021569E-1,2.959898207E-3
7.374995000E0,-2.738676786E0,2.093727291E-1,2.173576355E-1
7.395159000E0,-2.390242577E0,9.478125572E-1,4.035754204E-1
7.415322000E0,-1.662818670E0,1.375702620E0,2.064494193E-1
7.435485000E0,-1.370596886E0,4.706642628E-1,-1.871040910E-1
7.455649000E0,-1.487577200E0,-5.843992233E-1,-4.011235237E-1
7.475812000E0,-9.331564903E-1,-7.363777757E-1,-4.044779241E-1
7.495975000E0,-3.463225961E-1,2.975751460E-1,-4.843409956E-1
7.516138000E0,3.349675983E-2,1.566879153E0,-2.640492022E-1
7.536302000E0,1.096378565E0,1.019902706E0,-1.456402838E-1
7.556465000E0,1.804544926E0,-6.454433799E-1,-2.153117061E-1
7.576628000E0,1.753363371E0,-1.532248735E0,-1.772027910E-1
7.596792000E0,1.746545911E0,-1.216049552E0,5.184481293E-2
7.616955000E0,1.972490311E0,-7.950971127E-1,2.418421209E-1
7.637118000E0,2.038997173E0,-9.368682504E-1,2.816234827E-1
7.657281000E0,2.003872633E0,-1.166612983E0,2.641269863E-1
7.677445000E0,1.966248155E0,-1.091782212E0,2.944808900E-1
7.697608000E0,2.007298946E0,-6.180717349E-1,3.649344444E-1
7.717771000E0,2.153414965E0,-4.575465247E-2,4.483498335E-1
7.737935708E0,2.459150553E0,4.474741518E-1,4.497848451E-1
7.758098708E0,2.600020647E0,6.798472404E-1,4.616789222E-1
7.778261708E0,2.384196758E0,7.948421836E-1,6.096686125E-1
7.798425708E0,2.059679985E0,8.069236875E-1,7.952285409E-1
7.818588708E0,1.642793298E0,6.281777024E-1,9.136371017E-1
7.838751708E0,1.128079295E0,3.602603972E-1,9.474537969E-1
7.858915708E0,6.761314273E-1,2.525921166E-1,9.179349542E-1
7.879078708E0,2.475600541E-1,4.004943371E-1,9.025757909E-1
7.899241708E0,-4.180339724E-2,5.844680071E-1,8.523763418E-1
