"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.764737501E0,-1.694714665E0,-6.560867429E-1,1.176735878E0
1.784737501E0,-1.832403779E0,-3.417180181E-1,1.574845433E0
1.804737501E0,-1.904642940E0,4.358436167E-1,2.075213909E0
1.824737501E0,-1.889423609E0,1.117848516E0,2.900614977E0
1.844737501E0,-1.681729436E0,6.916390657E-1,3.677495956E0
1.864737501E0,-1.282694817E0,-5.992762446E-1,3.323892355E0
1.884737501E0,-7.278372049E-1,7.309439033E-2,1.863365889E0
1.904737501E0,6.010564566E-1,1.550934434E0,2.723237276E-1
1.924737501E0,1.597988605E0,1.077007771E0,-4.226663709E-1
1.944737501E0,2.014616013E0,4.125260115E-1,-2.196845859E-1
1.964737501E0,2.071164846E0,-2.677509487E-1,3.204075396E-1
1.984737501E0,1.902915001E0,-8.575500846E-1,9.856223464E-1
2.004737501E0,1.626053452E0,-6.387381554E-1,8.991761804E-1
2.024737501E0,1.320865154E0,-7.113787532E-1,8.286125064E-1
2.044737501E0,9.625316262E-1,-1.060514450E0,8.463625312E-1
2.064737501E0,4.590913951E-1,-2.067098141E0,9.625665545E-1
2.084737501E0,1.045452245E-2,-2.503395557E0,9.396852851E-1
2.104737501E0,-3.357315361E-1,-1.830798030E0,7.226012349E-1
2.124737501E0,-4.724257290E-1,-2.786592543E-1,4.460887015E-1
2.144737501E0,-3.977081776E-1,1.231085420E0,6.123836637E-1
2.164737501E0,-2.442239225E-1,2.707372189E0,5.810026526E-1
2.184737501E0,5.161811113E-1,1.928082705E0,-1.469218135E-1
2.204737501E0,5.825734735E-1,1.204329491E0,-9.602103233E-1
2.224737501E0,1.532399058E-1,1.501070380E0,-6.724753380E-1
2.244737501E0,-4.056668878E-1,1.912322402E0,1.892809570E-1
2.264737501E0,-1.681258202E0,4.136953950E-1,1.319015145E0
2.284737501E0,-2.809456587E0,-1.518959999E0,2.100695848E0
2.304737501E0,-3.230866194E0,-1.219339371E0,2.629408360E0
2.324737501E0,-5.864480734E-1,1.691834927E0,2.220879078E0
