"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.793280750E0,-1.657553101E1,-1.848079681E1,-3.482257080E1
1.813367750E0,-1.678646851E1,-1.830117798E1,-3.493489075E1
1.833454750E0,-1.725585938E1,-1.804512024E1,-3.466479492E1
1.853541750E0,-1.761389160E1,-1.777798462E1,-3.466613770E1
1.873629750E0,-1.810281372E1,-1.740854645E1,-3.458976746E1
1.893716750E0,-1.891101074E1,-1.685170746E1,-3.450505066E1
1.913803750E0,-1.968765259E1,-1.648718262E1,-3.442208862E1
1.933890750E0,-2.026940918E1,-1.607185364E1,-3.421307373E1
1.953977750E0,-2.065185547E1,-1.581484985E1,-3.390049744E1
1.974064750E0,-2.094738770E1,-1.532417297E1,-3.391549683E1
1.994151750E0,-2.108056641E1,-1.457555389E1,-3.408264160E1
2.014238750E0,-2.106088257E1,-1.324002838E1,-3.451153564E1
2.034325750E0,-2.091116333E1,-1.246796417E1,-3.493623352E1
2.054412750E0,-2.108413696E1,-1.230365753E1,-3.506927490E1
2.074499750E0,-2.118103027E1,-1.304856110E1,-3.427520752E1
2.094586750E0,-2.063076782E1,-1.414421082E1,-3.426519775E1
2.114673750E0,-1.931906128E1,-1.507260132E1,-3.477377319E1
2.134760750E0,-1.775860596E1,-1.610712433E1,-3.504931641E1
2.154847750E0,-1.716595459E1,-1.710155487E1,-3.483526611E1
2.174934750E0,-1.686801147E1,-1.747595978E1,-3.471037292E1
2.195021750E0,-1.596875000E1,-1.759931946E1,-3.444805908E1
2.215108750E0,-1.438189697E1,-1.816621399E1,-3.503274536E1
2.235196750E0,-1.264907837E1,-1.952693176E1,-3.475546265E1
2.255283750E0,-1.087710571E1,-2.069093323E1,-3.453939819E1
2.275370750E0,-9.291168213E0,-2.186384583E1,-3.417747498E1
2.295457750E0,-6.738952637E0,-2.314505005E1,-3.368885803E1
2.315544750E0,-2.634307861E0,-2.384071350E1,-3.395240784E1
2.335631750E0,8.616027832E-1,-2.248925781E1,-3.508503723E1
2.355718750E0,1.831939697E0,-2.176435852E1,-3.543074036E1
2.375805750E0,1.222564697E0,-2.214241028E1,-3.527890015E1
2.395892750E0,3.023071289E-1,-2.235633850E1,-3.519143677E1
2.415979750E0,-6.581420898E-1,-2.247145081E1,-3.528616333E1
2.436066750E0,-1.867095947E0,-2.209880066E1,-3.566104126E1
2.456153750E0,-3.022277832E0,-2.183180237E1,-3.576107788E1
2.476240750E0,-4.038818359E0,-2.165881348E1,-3.569496155E1
2.496327750E0,-4.516937256E0,-2.165088654E1,-3.573857117E1
2.516414750E0,-4.920318604E0,-2.161710358E1,-3.551567078E1
2.536501750E0,-5.238189697E0,-2.202571869E1,-3.525862122E1
2.556588750E0,-5.328582764E0,-2.197154999E1,-3.518804932E1
2.576675750E0,-5.253784180E0,-2.250169373E1,-3.509252930E1
2.596763750E0,-5.139953613E0,-2.276652527E1,-3.476048279E1
2.616850750E0,-4.866943359E0,-2.324827576E1,-3.460116577E1
2.636937750E0,-4.498840332E0,-2.398118591E1,-3.426312256E1
2.657024750E0,-3.832946777E0,-2.456488037E1,-3.367202759E1
2.677111750E0,-3.288665771E0,-2.511298370E1,-3.340017700E1
2.697198750E0,-2.607788086E0,-2.583829498E1,-3.304109192E1
2.717285750E0,-1.594360352E0,-2.656945801E1,-3.266380310E1
2.737372750E0,-1.045959473E0,-2.703414917E1,-3.225427246E1
2.757459750E0,-8.406677246E-1,-2.753743744E1,-3.203694153E1
2.777546750E0,-4.707031250E-1,-2.850528717E1,-3.184020996E1
2.797633625E0,-2.776184082E-1,-2.918709564E1,-3.101161194E1
2.817720625E0,1.150207520E-1,-2.967150116E1,-3.079228210E1
2.837807625E0,4.503784180E-1,-2.969742584E1,-3.088958740E1
2.857894625E0,1.524414062E0,-2.981842041E1,-3.129019165E1
2.877981625E0,2.334686279E0,-2.998178101E1,-3.097502136E1
2.898068625E0,3.051757812E0,-3.011396790E1,-3.080569458E1
2.918155625E0,3.374359131E0,-3.017199707E1,-3.075308228E1
2.938242625E0,3.839599609E0,-3.040148926E1,-3.084535217E1
2.958330625E0,4.910522461E0,-3.035722351E1,-3.107720947E1
2.978417625E0,5.786010742E0,-3.012741089E1,-3.124497986E1
2.998504625E0,6.696380615E0,-3.020044708E1,-3.145523071E1
3.018591625E0,7.505645752E0,-3.009978485E1,-3.133328247E1
3.038678625E0,8.190063477E0,-3.016012573E1,-3.110224915E1
3.058765625E0,8.687469482E0,-3.032289124E1,-3.103228760E1
3.078852625E0,8.991516113E0,-3.056398010E1,-3.091983032E1
3.098939625E0,9.034698486E0,-3.073983765E1,-3.098652649E1
3.119026625E0,9.323883057E0,-3.107536316E1,-3.093525696E1
3.139113625E0,9.148223877E0,-3.115521240E1,-3.106578064E1
3.159200625E0,9.346923828E0,-3.132994080E1,-3.114923096E1
3.179287625E0,9.464477539E0,-3.116961670E1,-3.124850464E1
3.199374625E0,9.587738037E0,-3.114749146E1,-3.148344421E1
3.219461625E0,1.034170532E1,-3.103112793E1,-3.131578064E1
3.239548625E0,1.082424927E1,-3.079105377E1,-3.148258972E1
3.259635625E0,1.112512207E1,-3.088025665E1,-3.163339233E1
3.279722625E0,1.125787354E1,-3.095539093E1,-3.158395386E1
3.299809625E0,1.124392700E1,-3.119889832E1,-3.136509705E1
3.319896625E0,1.131652832E1,-3.147341919E1,-3.124867249E1
3.339984625E0,1.107598877E1,-3.184794617E1,-3.092192078E1
3.360071625E0,1.102389526E1,-3.217424011E1,-3.087675476E1
3.380158625E0,1.113201904E1,-3.225096893E1,-3.065277100E1
3.400245625E0,1.115325928E1,-3.223657990E1,-3.060739136E1
3.420332625E0,1.117819214E1,-3.191815948E1,-3.107641602E1
3.440419625E0,1.106292725E1,-3.161623383E1,-3.114205933E1
3.460506625E0,1.121343994E1,-3.147483063E1,-3.189292908E1
3.480593625E0,1.057775879E1,-3.102457428E1,-3.227679443E1
3.500680625E0,9.197357178E0,-3.067308044E1,-3.288165283E1
3.520767625E0,7.645690918E0,-3.028961945E1,-3.365830994E1
3.540854625E0,6.918914795E0,-2.968054962E1,-3.433425903E1
3.560941625E0,6.818511963E0,-2.907848358E1,-3.514938354E1
3.581028625E0,6.355712891E0,-2.856716156E1,-3.569482422E1
3.601115625E0,5.363098145E0,-2.808177948E1,-3.612226868E1
3.621202625E0,4.404968262E0,-2.765610504E1,-3.644557190E1
3.641289625E0,3.552246094E0,-2.724088287E1,-3.685266113E1
3.661376625E0,2.990112305E0,-2.652714539E1,-3.731967163E1
