"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
5.534166645E-3,3.240024298E-2,1.540817171E-1,7.645152509E-2
2.562116663E-2,-3.923496604E-1,-6.928077340E-2,1.302737445E-1
4.570816667E-2,-2.347073555E-1,-3.186478913E-1,1.590808928E-1
6.579516665E-2,-1.833164506E-2,-2.798056901E-1,1.223127544E-1
8.588216663E-2,7.192304730E-2,-1.087499112E-1,1.218192726E-1
1.059691667E-1,1.685039252E-1,1.422865838E-1,1.253703386E-1
1.260561667E-1,1.778081805E-1,2.631142735E-1,1.143642887E-1
1.461431666E-1,1.333440002E-2,2.502694726E-1,7.652901113E-2
1.662301667E-1,-8.672419190E-2,1.036081314E-1,1.188506484E-1
1.863171667E-1,-5.340377614E-2,5.749589764E-4,1.206259131E-1
2.064041666E-1,5.155655742E-2,-6.796690170E-3,6.333491951E-2
2.264911666E-1,1.622203887E-1,-1.707487740E-2,-1.560516655E-2
2.465781667E-1,2.575663328E-1,-2.767172828E-2,-4.793433845E-2
2.666651667E-1,1.977855414E-1,-1.223551780E-1,4.284383263E-3
2.867521666E-1,4.617624357E-2,-2.670984268E-1,1.634276123E-3
3.068391667E-1,-4.576782882E-2,-5.791721940E-1,-5.183720589E-2
3.269261667E-1,-1.191334203E-1,-9.989119768E-1,-2.209375352E-1
3.470141666E-1,-3.243162036E-1,-1.488769054E0,-5.411086679E-1
3.671011666E-1,-5.837498903E-1,-1.923270941E0,-9.032964110E-1
3.871881667E-1,-8.387309909E-1,-2.579795361E0,-1.369817019E0
4.072751667E-1,-1.073347211E0,-3.202596664E0,-1.753617167E0
4.273621666E-1,-1.213535190E0,-3.471624613E0,-1.964359164E0
4.474491667E-1,-1.155806899E0,-2.807631016E0,-1.988260031E0
4.675361667E-1,-1.055174232E0,-2.120154619E0,-1.836926341E0
4.876231666E-1,-1.257486820E0,-1.634142756E0,-1.682327747E0
5.077101666E-1,-1.464089274E0,-1.218491554E0,-1.625996828E0
5.277971667E-1,-1.197654128E0,-9.748151302E-1,-1.513086319E0
5.478841666E-1,-8.076444268E-1,-1.494028091E0,-1.614850998E0
5.679711666E-1,-9.407591224E-1,-2.641495943E0,-1.749556661E0
5.880581667E-1,-1.123018980E0,-3.251818180E0,-1.727161527E0
6.081451667E-1,-1.116718292E0,-3.052304506E0,-2.188155174E0
6.282321666E-1,-1.233675957E0,-2.821026325E0,-3.055833817E0
6.483191667E-1,-1.068124413E0,-2.524717331E0,-3.591867924E0
6.684061667E-1,-9.779158235E-1,-3.136941195E0,-3.756211758E0
6.884931666E-1,-5.748891234E-1,-3.466672182E0,-3.507727861E0
7.085801666E-1,-1.808400899E-1,-3.124284267E0,-3.333720207E0
7.286671667E-1,7.086574286E-2,-2.795687437E0,-2.884201765E0
