"event","experiment time","system time","system time text"
"START",0.000000000E0,1788322561.117,"2026-09-02 12:16:01.117 UTC+08:00"
"PAUSE",1.140783414E3,1788323701.900,"2026-09-02 12:35:01.900 UTC+08:00"
