"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.788237952488000E9,"2026-09-01 12:45:52.488 UTC+08:00"
"PAUSE",2.201155774999643E1,1.788237974499000E9,"2026-09-01 12:46:14.499 UTC+08:00"
"START",2.201155774999643E1,1.788237985851000E9,"2026-09-01 12:46:25.851 UTC+08:00"
"PAUSE",2.603383308334742E1,1.788237989873000E9,"2026-09-01 12:46:29.873 UTC+08:00"
"START",2.603383308334742E1,1.788237995564000E9,"2026-09-01 12:46:35.564 UTC+08:00"
"PAUSE",1.780508333583362E3,1.788239750027000E9,"2026-09-01 13:15:50.027 UTC+08:00"
"START",1.780508333583362E3,1.788239757527000E9,"2026-09-01 13:15:57.527 UTC+08:00"
"PAUSE",1.828016653333383E3,1.788239805035000E9,"2026-09-01 13:16:45.035 UTC+08:00"
