"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.732951292E0,-9.895573854E-1,2.899583280E-1,2.942929268E-1
1.752909292E0,-5.477138162E-1,1.343481392E-1,9.773387015E-2
1.772866292E0,3.167186677E-2,1.156732161E-2,-1.770607680E-1
1.792824292E0,8.791648149E-1,1.473721564E-1,-3.281794488E-1
1.812781292E0,1.683390021E0,5.812977906E-4,-1.340999156E-1
1.832739292E0,2.087840796E0,-1.234131157E-1,1.176918447E-1
1.852697292E0,1.911488891E0,-2.999114692E-1,1.769535393E-1
1.872654292E0,1.272404909E0,-2.564480007E-1,5.519435182E-2
1.892612292E0,5.522166491E-1,1.090770401E-2,-4.766204655E-1
1.912569292E0,1.867882162E-1,4.704072475E-1,-9.496241808E-1
1.932527292E0,3.750606477E-1,7.543948293E-1,-1.081107140E0
1.952484292E0,6.019934416E-1,1.072828054E0,-9.400354624E-1
1.972442292E0,8.290117383E-1,9.015075564E-1,-7.746891379E-1
1.992399292E0,8.268160224E-1,5.170298219E-1,-4.601393342E-1
2.012357292E0,6.292326450E-1,2.124369442E-1,-4.099367931E-2
2.032314292E0,4.037616253E-1,-2.576482892E-1,6.245304942E-1
2.052272292E0,2.290851027E-1,-7.654226422E-1,1.387917757E0
2.072230292E0,2.728280723E-1,-8.405875564E-1,1.755458236E0
2.092187292E0,6.008992195E-1,-5.679955482E-1,1.634417772E0
2.112145292E0,1.132628322E0,-8.903400302E-1,8.602963686E-1
2.132102292E0,1.505539536E0,-9.675773978E-1,1.144850254E-1
2.152060292E0,1.753741741E0,-9.167889953E-1,-1.744501591E-1
2.172017292E0,1.840687513E0,-1.156965613E0,-6.217149086E-3
2.191975292E0,1.921638012E0,-1.936636329E0,-2.025440335E-1
2.211933292E0,1.748422027E0,-2.024131060E0,-5.115979910E-1
2.231890292E0,1.581403136E0,-1.387404799E0,-5.279855728E-1
2.251848292E0,1.576756120E0,-4.438729882E-1,2.155558467E-1
2.271805292E0,1.542727947E0,7.347822189E-1,1.266555190E0
2.291763292E0,1.559316039E0,1.021026254E0,1.967727304E0
2.311720292E0,1.112395406E0,8.842141628E-1,1.647569180E0
2.331678292E0,1.820650697E-1,1.987167716E0,1.109052062E0
2.351636292E0,-4.445888400E-1,2.587951660E0,5.285426378E-1
2.371593292E0,-5.190973878E-1,2.329935789E0,5.781411529E-1
2.391551292E0,-8.451980352E-2,2.047451973E0,1.112752199E0
2.411508292E0,2.876114547E-1,1.720420837E0,1.634353518E0
2.431466292E0,4.548377693E-1,1.503563881E0,2.138228893E0
2.451423708E0,7.947794348E-2,2.587339163E0,2.951889277E0
2.471381709E0,8.622443676E-2,1.019926548E0,3.500672579E0
2.491339709E0,4.750706851E-1,-1.446333170E0,3.253057480E0
2.511296709E0,-3.432727605E-2,-1.163438082E0,2.642955780E0
2.531254708E0,-2.586984634E-1,-1.359240711E-2,2.263083696E0
2.551211709E0,-4.022359550E-1,1.022093222E-1,2.060549974E0
2.571169708E0,-5.373094082E-1,-1.083991230E-1,2.006775379E0
2.591127709E0,-6.474834085E-1,-2.536194623E-1,1.919143200E0
2.611084708E0,-7.271907926E-1,-9.304330498E-2,1.736189246E0
2.631042709E0,-8.228831291E-1,2.106297761E-1,1.313231468E0
2.650999709E0,-9.187418818E-1,5.691620708E-1,7.396071553E-1
2.670957708E0,-1.014482737E0,1.216809154E0,1.718314737E-1
2.690915708E0,-1.187257528E0,1.871517539E0,-1.864394844E-1
