"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.857686292E0,9.040599976E0,-4.501139832E0,6.336323547E-1
1.877643292E0,9.862540741E0,-6.096821594E0,1.886077881E-1
1.897601292E0,9.615105286E0,-5.588927765E0,-1.080752563E-1
1.917559292E0,9.015901337E0,-4.479135590E0,1.332828369E0
1.937516292E0,8.092022552E0,-3.490142212E0,2.183958435E0
1.957474292E0,8.130941620E0,-2.771336975E0,2.233056335E0
1.977431292E0,8.047115936E0,-2.868634644E0,2.195185089E0
1.997389292E0,8.196355591E0,-3.231779480E0,1.654958496E0
2.017346292E0,9.230105896E0,-3.416495361E0,1.275497589E0
2.037304292E0,9.254804535E0,-3.995641022E0,4.912783813E-1
2.057261292E0,9.446406097E0,-3.162323914E0,5.923182678E-1
2.077219292E0,9.419462128E0,-2.161804504E0,1.258882141E0
2.097177292E0,9.584718475E0,-1.971400452E0,2.135309601E0
2.117134292E0,1.027343628E1,-2.190544739E0,2.656226349E0
2.137092292E0,1.020832169E1,-2.348466339E0,2.664608917E0
2.157049292E0,1.160102554E1,-3.633244629E0,2.670147400E0
2.177007292E0,1.183094742E1,-4.175866241E0,1.795965271E0
2.196964292E0,1.252385651E1,-3.856131134E0,1.798360291E0
2.216922292E0,1.123458755E1,-2.829266510E0,1.595831451E0
2.236880292E0,8.393046570E0,-1.843117218E0,1.321601715E0
2.256837292E0,5.459297333E0,-1.564696198E0,1.324894867E0
2.276795292E0,4.144581299E0,-2.263143768E0,5.498066711E-1
2.296752292E0,3.444487152E0,-6.112089844E0,1.003812561E0
2.316710292E0,7.274422760E0,-8.161777496E0,-1.640289001E0
2.336667292E0,9.615105286E0,-6.417604523E0,-2.086960144E0
2.356625292E0,1.113504456E1,-4.671934662E0,-3.216810608E-1
2.376583292E0,1.016625916E1,-3.620371399E0,1.474134521E0
2.396540292E0,9.328152008E0,-3.026256866E0,3.433709564E0
2.416498292E0,8.313262482E0,-3.714824982E0,3.223097534E0
2.436455708E0,7.884553986E0,-4.115541687E0,2.782413940E0
2.456413709E0,5.689518585E0,-4.346511383E0,2.513572998E0
2.476370709E0,3.821253662E0,-6.860683136E0,1.049527496E1
2.496328709E0,3.645519104E0,-6.752009125E0,8.839268646E0
2.516286708E0,6.007756805E0,-5.732928314E0,2.050735474E0
2.536243708E0,5.719306641E0,-5.851631470E0,2.125729523E0
2.556201709E0,4.931794281E0,-5.937253418E0,3.021466827E0
2.576158708E0,4.618346100E0,-6.097120972E0,3.460803223E0
2.596116709E0,4.922363892E0,-6.060896301E0,3.554059296E0
2.616074708E0,5.551954651E0,-6.476132812E0,3.506607971E0
2.636031709E0,6.148613892E0,-6.878346405E0,3.243006134E0
2.655989708E0,5.658832397E0,-6.680008850E0,2.969524841E0
2.675946708E0,5.091063080E0,-6.828949127E0,2.571502533E0
2.695904708E0,4.696034546E0,-7.211703186E0,1.666035461E0
2.715861708E0,3.655548248E0,-7.253166962E0,8.554710388E-1
2.735819709E0,1.600322113E0,-5.211263123E0,5.207670593E-1
2.755777709E0,1.204395447E0,-3.462300110E0,6.813830566E-1
2.775734709E0,8.916957092E-1,-2.487078094E0,3.140469360E-1
