"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.872654292E0,-2.158787537E1,1.980957031E1,3.788298035E1
1.892612292E0,-2.156060791E1,2.067376709E1,3.781765747E1
1.912569292E0,-2.165797424E1,2.084237671E1,3.734373474E1
1.932527292E0,-2.254383850E1,2.079577637E1,3.722421265E1
1.952484292E0,-2.344741821E1,2.045306396E1,3.661674500E1
1.972442292E0,-2.451280212E1,2.029187012E1,3.581134033E1
1.992399292E0,-2.554295349E1,2.032681274E1,3.510784912E1
2.012357292E0,-2.593484497E1,2.059960938E1,3.414837646E1
2.032314292E0,-2.598422241E1,2.104656982E1,3.415939331E1
2.052272292E0,-2.555245972E1,2.163247681E1,3.413800049E1
2.072230292E0,-2.440867615E1,2.240493774E1,3.473634338E1
2.092187292E0,-2.298348999E1,2.347418213E1,3.484190369E1
2.112145292E0,-2.180433655E1,2.454559326E1,3.495783997E1
2.132102292E0,-2.086259460E1,2.557418823E1,3.470155334E1
2.152060292E0,-2.012225342E1,2.665576172E1,3.409373474E1
2.172017292E0,-1.945312500E1,2.782150269E1,3.379907227E1
2.191975292E0,-1.874150085E1,2.889120483E1,3.346183777E1
2.211933292E0,-1.766291809E1,3.007485962E1,3.296134949E1
2.231890292E0,-1.700453186E1,3.076553345E1,3.255476379E1
2.251848292E0,-1.652761841E1,3.160498047E1,3.208010864E1
2.271805292E0,-1.614985657E1,3.276901245E1,3.095880127E1
2.291763292E0,-1.568522644E1,3.408422852E1,2.982752991E1
2.311720292E0,-1.487681580E1,3.539120483E1,2.878904724E1
2.331678292E0,-1.435060120E1,3.619580078E1,2.766435242E1
2.351636292E0,-1.469255066E1,3.636807251E1,2.686985779E1
2.371593292E0,-1.554953003E1,3.634326172E1,2.661579895E1
2.391551292E0,-1.624005127E1,3.661245728E1,2.633102417E1
2.411508292E0,-1.627317810E1,3.689743042E1,2.555052185E1
2.431466292E0,-1.611865234E1,3.714941406E1,2.504499817E1
2.451423708E0,-1.511204529E1,3.815643311E1,2.390534973E1
2.471381709E0,-1.392329407E1,3.906668091E1,2.330819702E1
2.491339709E0,-1.163414001E1,4.015176392E1,2.278329468E1
2.511296709E0,-8.616317749E0,4.074865723E1,2.288591003E1
2.531254708E0,-5.817352295E0,4.116995239E1,2.307994080E1
2.551211709E0,-3.687438965E0,4.122799683E1,2.327827454E1
2.571169708E0,-2.024124146E0,4.106219482E1,2.357484436E1
2.591127709E0,-1.795806885E-1,4.087106323E1,2.408023071E1
2.611084708E0,1.653717041E0,4.033306885E1,2.483329773E1
2.631042709E0,3.188980103E0,3.991186523E1,2.538493347E1
2.650999709E0,4.184097290E0,3.918374634E1,2.581607056E1
2.670957708E0,4.294708252E0,3.856347656E1,2.643923950E1
2.690915708E0,3.969604492E0,3.792724609E1,2.725845337E1
2.710872708E0,2.932403564E0,3.721270752E1,2.823469543E1
2.730830709E0,2.424621582E0,3.610140991E1,2.950825500E1
2.750787708E0,2.477127075E0,3.468579102E1,3.115698242E1
2.770745709E0,3.080856323E0,3.263854980E1,3.301167297E1
