"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.788318824458721E9,"2026-09-02 11:13:44.459 UTC+08:00"
"PAUSE",9.037727918750606E2,1.788319728186036E9,"2026-09-02 11:28:48.186 UTC+08:00"
