"event","experiment time","system time","system time text"
"START",0.000000000E0,1788184055.580,"2026-08-31 21:47:35.580 UTC+08:00"
"PAUSE",1.820182270E3,1788185875.762,"2026-08-31 22:17:55.762 UTC+08:00"
