"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.876282583E0,6.473288727E0,-4.455035706E0,5.691763916E0
1.896235583E0,9.330696716E0,-5.844147034E0,3.456611938E0
1.916188583E0,5.194947052E0,-5.344486084E0,3.430117035E0
1.936140583E0,4.179309082E0,-5.931265869E0,4.411027222E0
1.956093583E0,3.300785980E0,-5.202880554E0,3.053799591E0
1.976046583E0,2.886746979E0,-5.301076355E0,1.808539124E0
1.995998583E0,3.507955170E0,-6.045628052E0,1.717079315E0
2.015951583E0,1.801653442E0,-5.801036682E0,9.418414307E-1
2.035904583E0,4.736151123E-1,-4.191433868E0,4.055067444E-1
2.055856583E0,-1.390907593E0,-5.032235413E0,-1.651066589E0
2.075809583E0,-9.533674622E-1,-4.503534851E0,-3.972738647E-1
2.095762583E0,-5.763015747E0,-2.307751007E1,4.865332489E0
2.115715583E0,3.299887848E0,-1.552451660E1,1.650168457E0
2.135667583E0,2.415227509E0,-2.399255722E1,1.968855743E0
2.190537583E0,-3.830534363E0,-1.828058533E1,8.397537231E-2
2.210490583E0,-1.974543915E0,-9.226513367E0,1.381626892E-1
2.230442583E0,2.603086853E-1,-5.009931793E0,1.032552795E0
2.250395583E0,1.505419464E0,-3.668720856E0,2.464325409E0
2.270348583E0,1.946402435E0,-3.955524445E0,3.140768738E0
2.290301583E0,1.405577087E0,-6.203399963E0,1.998943176E0
2.310253583E0,-1.096769257E0,-7.617658997E0,2.174228668E0
2.330206583E0,-2.600841522E0,-9.159303131E0,1.188678131E0
2.350159583E0,-3.636388092E0,-1.059811111E1,3.350033569E-1
2.370111583E0,-4.109404449E0,-1.137409744E1,-1.364562378E0
2.390064583E0,-4.359983368E0,-1.092368408E1,-1.409618683E0
2.410017583E0,-4.448898468E0,-9.697883148E0,-2.362237701E0
2.429969583E0,-4.033961334E0,-8.381819916E0,-2.467768250E0
2.449922583E0,-3.594026184E0,-7.272626495E0,-1.845512238E0
2.469875583E0,-3.325783997E0,-7.469317474E0,-1.058598633E0
2.489827583E0,-2.609822845E0,-9.572444000E0,5.360802155E0
2.509780583E0,-2.172282715E0,-1.071980804E1,7.120393066E0
2.529733583E0,-2.701432343E0,-1.122410934E1,4.273463287E0
2.549685583E0,-2.913690948E0,-1.083192490E1,5.167254639E-1
2.569638583E0,-2.340832214E0,-1.046249313E1,2.073937225E0
2.589591583E0,-1.420396271E0,-9.624236298E0,4.089046783E0
2.609544583E0,-1.283730469E0,-9.438921661E0,2.205363922E0
2.629496583E0,-1.352886658E0,-8.749455414E0,7.958949280E-1
2.649449583E0,-1.191971283E0,-8.045918427E0,-2.427951050E-1
2.669402583E0,-3.936813354E-1,-7.709118805E0,-4.490661621E-2
2.689354583E0,1.308578796E0,-8.149952087E0,6.071374512E-1
2.709307583E0,3.477867737E0,-9.004225616E0,1.110839996E0
2.729260583E0,5.223537598E0,-9.759255524E0,7.933502197E-1
2.749212583E0,4.560566254E0,-1.006282425E1,4.646337891E-1
2.769165583E0,2.320474548E0,-9.809850311E0,-7.226971436E-1
2.789118583E0,2.247426453E0,-8.139324188E0,-8.547225952E-2
2.809070583E0,3.901935883E0,-7.078330536E0,1.099313965E0
2.829023583E0,3.570075989E0,-7.209158478E0,4.209246826E-1
2.848976583E0,3.110980682E0,-8.449778595E0,4.251009979E0
2.868928583E0,3.019820251E0,-9.289682007E0,1.527124329E0
2.888881583E0,4.441563721E0,-9.404792633E0,8.150550842E-1
2.908834583E0,4.643344116E0,-8.142018585E0,7.176077271E-1
2.928786583E0,4.175117798E0,-6.776707764E0,1.353186035E-1
2.948739583E0,4.077371063E0,-6.372548218E0,9.854008484E-1
2.968692583E0,5.214855652E0,-7.376360779E0,1.209035797E0
2.988644583E0,6.384673004E0,-8.205935669E0,1.596579895E0
3.008597583E0,5.392685852E0,-7.776029663E0,-1.247206421E0
3.028550583E0,6.137387238E0,-6.264023895E0,9.782157898E-1
3.048502583E0,6.706952820E0,-5.772895203E0,4.712200928E-1
3.068455583E0,6.735543365E0,-5.797593842E0,3.176394653E-1
3.088408583E0,7.672594757E0,-5.564827881E0,9.732760620E-1
3.108360583E0,1.087533463E1,-5.036426697E0,1.960173798E0
3.128313583E0,1.242296631E1,-6.836882629E0,2.186353455E0
3.148266583E0,1.112830856E1,-7.625143433E0,1.906585236E0
3.168219583E0,1.049826874E1,-6.852749634E0,1.887275391E0
3.188171583E0,9.975406036E0,-5.830525360E0,1.811682587E0
3.208124583E0,9.628427582E0,-4.787793732E0,1.643282776E0
3.228077583E0,1.025262955E1,-3.948638763E0,1.810784454E0
3.248029583E0,1.063583267E1,-3.251837769E0,2.565215607E0
3.267982583E0,1.030008087E1,-2.878663788E0,2.835254059E0
3.287935583E0,9.810299377E0,-2.663860474E0,2.433339844E0
3.307887583E0,9.444909210E0,-2.422562256E0,2.061213684E0
3.327840583E0,9.858050079E0,-2.095492401E0,1.363364868E0
3.347793583E0,1.070663544E1,-2.048340454E0,5.492079163E-1
3.367745583E0,1.049407745E1,-2.012265472E0,8.967851257E-1
3.387698583E0,9.636510773E0,-1.257684631E0,1.134790192E0
3.407651583E0,9.535620575E0,-3.098556519E-2,1.622625732E0
3.427603583E0,8.838819580E0,1.162781982E0,1.762884064E0
3.447556583E0,8.240064697E0,1.750459900E0,2.088906097E0
3.467509583E0,8.824150085E0,2.199376373E0,1.989213409E0
3.487461583E0,9.902208252E0,2.145189056E0,1.741628265E0
3.507414583E0,1.121527771E1,1.333277435E0,1.795965271E0
3.527367583E0,1.191118057E1,-1.206491089E-1,1.706451416E0
3.547319583E0,1.072729248E1,-1.796713715E0,1.572629700E0
3.567272583E0,1.019754410E1,-2.814597015E0,1.407523041E0
3.587225583E0,1.018242554E1,-3.568130035E0,2.272125092E0
3.607177583E0,9.782756653E0,-3.140918427E0,2.961142273E0
3.627130583E0,9.322912903E0,-1.821112976E0,2.888393555E0
3.647083583E0,8.809630280E0,-1.110989685E0,2.606080627E0
