"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.846353583E0,1.185620117E1,7.710754395E0,-2.719203186E1
1.866306583E0,1.158676147E1,5.884246826E0,-2.641879272E1
1.886259583E0,1.110665894E1,3.967864990E0,-2.549406433E1
1.906211583E0,1.058441162E1,2.169799805E0,-2.444062805E1
1.926164583E0,9.844573975E0,7.771606445E-1,-2.390553284E1
1.946117583E0,8.986831665E0,-1.452789307E0,-1.884295654E1
1.966069583E0,8.405120850E0,-5.303894043E0,-1.428787231E1
1.986022583E0,6.752090454E0,-1.130593872E1,-7.142196655E0
2.005975583E0,3.449707031E0,-2.109820557E1,9.842041016E0
2.025927583E0,-7.682250977E0,-3.994403076E1,1.308003235E1
2.045880583E0,-3.449847412E1,-7.340896606E1,4.772637939E1
2.065833583E0,-1.208342590E2,-1.315576477E2,1.168291321E2
2.085785583E0,-3.688799438E2,-1.294937439E2,2.931365967E-1
2.105738583E0,-3.685418091E2,-1.020802917E2,-7.305993042E2
2.125691583E0,-3.216475220E2,9.041219482E2,-7.675399170E2
2.145644583E0,-3.190868530E2,6.326318359E2,-7.015109253E2
2.165596583E0,-3.206836548E2,3.476523132E2,-5.097825317E2
2.185549583E0,-2.992716064E2,1.588790894E2,-4.666755676E2
2.205502583E0,-2.849628906E2,1.400923767E2,-4.833630371E2
2.225454583E0,-2.820079651E2,1.647051697E2,-4.761869812E2
2.245407583E0,-1.732554626E2,1.915919495E2,-4.486786499E2
2.265360583E0,-1.639255371E2,2.016990967E2,-4.314726562E2
2.285312583E0,-1.636363678E2,1.998607178E2,-4.356798096E2
2.305265583E0,-3.421220398E1,1.825779419E2,-4.151713257E2
2.325218583E0,-3.292800903E1,1.690171509E2,-4.159748230E2
2.345170583E0,4.730026245E0,1.545551758E2,-4.143925476E2
2.365123583E0,3.361746216E1,1.448627014E2,-4.153505249E2
2.385076583E0,4.624105835E1,1.640045471E2,-4.124972839E2
2.405028583E0,6.981327820E1,1.857243347E2,-4.049315796E2
