"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.726636916E0,-4.766320437E-2,9.574658871E-1,1.745685339E0
1.746589917E0,4.157595932E-1,1.277385473E0,1.700950980E0
1.766542583E0,7.391186953E-1,9.304766059E-1,1.257056952E0
1.786495583E0,5.268785357E-1,9.963547587E-1,9.138056040E-1
1.806448583E0,1.049902365E-1,1.314453363E0,1.511345744E0
1.826400583E0,-8.398868144E-2,1.247523427E0,2.683582783E0
1.846353583E0,-1.860097498E-1,8.955552578E-1,3.927999020E0
1.866306583E0,-3.428251743E-1,5.168084502E-1,4.845510006E0
1.886259583E0,-5.462204814E-1,3.260501623E-1,2.903012991E0
1.906211583E0,-9.792276025E-1,-4.408459663E-1,2.326653004E-1
1.926164583E0,-1.136147380E0,4.046189189E-1,-9.039002657E-1
1.946117583E0,-1.320206881E0,1.740169525E0,-6.523538232E-1
1.966069583E0,-1.677974463E0,1.765894651E0,-1.147931218E-1
1.986022583E0,-2.213740349E0,1.397218823E0,4.583910108E-1
2.005975583E0,-2.736257792E0,1.016433954E0,1.209632277E0
2.025927583E0,-3.400041580E0,-2.433149368E-1,2.126382589E0
2.045880583E0,-3.719608307E0,-1.554522157E0,2.763034105E0
2.065833583E0,-2.834037066E0,-3.773491383E0,3.527294159E0
2.085785583E0,-2.172423601E0,-2.924888849E0,3.797411680E0
2.105738583E0,-1.772669077E0,5.917156339E-1,4.791122437E0
2.125691583E0,-1.120878220E0,3.756874561E0,3.604529858E0
2.145644583E0,-2.937901318E-1,5.864029408E0,3.985634089E0
2.165596583E0,3.026096523E-1,1.552223712E-1,4.733848572E0
2.185549583E0,8.133249879E-1,-1.692427039E0,3.939227104E0
2.205502583E0,9.159625769E-1,-2.857637405E0,2.622189045E0
2.225454583E0,3.256286085E-1,-3.051245213E0,1.352319121E0
2.245407583E0,-1.654345840E-1,-2.047278643E0,3.198411465E-1
2.265360583E0,-2.518013120E-1,-1.381600976E0,-7.439709306E-1
2.285312583E0,-2.136052996E-1,-7.534256577E-1,-1.867408752E0
2.305265583E0,1.840481013E-1,-6.751732826E-1,-2.714066982E0
2.325218583E0,4.340619445E-1,-7.164255977E-1,-2.990038395E0
2.345170583E0,4.693088531E-1,1.409700364E-1,-2.759896278E0
2.365123583E0,5.437775254E-1,1.298508644E0,-2.137761593E0
2.385076583E0,6.367515922E-1,1.827686071E0,-1.241001129E0
2.405028583E0,3.039348423E-1,1.786035180E0,-4.659282863E-1
2.424981583E0,-2.129682153E-1,1.482055545E0,1.418554131E-2
2.444934583E0,-5.121330023E-1,1.337049365E0,1.332368553E-1
2.464886583E0,-6.721079350E-1,1.610466361E0,-1.885662321E-3
2.484839583E0,-5.481776968E-2,7.781404257E-1,-1.307052076E-1
2.504792583E0,3.404458761E-1,1.686553359E-1,-2.483374476E-1
2.524745583E0,1.039421558E-2,7.119182944E-1,-3.073232472E-1
2.544697583E0,-1.485975981E-1,-2.350466102E-1,-4.596000016E-1
2.564650583E0,-1.784441173E-1,-1.124501944E0,-5.627437234E-1
2.584603583E0,-2.249878049E-1,-1.418593407E0,-6.318276525E-1
2.604555583E0,-9.628568590E-2,-1.537339091E0,-7.784685493E-1
2.624508583E0,-2.210798115E-2,-1.364503026E0,-8.596788645E-1
2.644461583E0,1.384540945E-1,-1.201499820E0,-8.445594907E-1
2.664413583E0,2.310910262E-2,-7.849413157E-1,-6.190332770E-1
2.684366583E0,2.225614525E-2,-8.202877641E-1,-5.405268073E-1
2.704319583E0,1.486112922E-1,-9.379870296E-1,-8.882306218E-1
2.724271583E0,1.487318575E-1,-7.643121481E-1,-1.633786201E0
2.744224583E0,3.640693426E-1,-6.345528960E-1,-2.391530752E0
2.764177583E0,2.702597082E-1,-3.113748431E-1,-2.447083712E0
2.784129583E0,1.107259765E-1,-3.622683287E-1,-2.219786882E0
2.804082583E0,4.133969173E-2,-1.019094825E0,-2.223265409E0
2.824035583E0,-1.759533286E-1,-1.511500239E0,-2.277226210E0
2.843987583E0,2.222789526E-1,-1.639587283E0,-2.193536043E0
2.863940583E0,4.081552029E-1,-6.662449241E-1,-1.805388808E0
2.883893583E0,4.865349531E-1,-5.796034932E-1,-1.833420396E0
2.903846583E0,5.176563263E-1,-7.023137212E-1,-2.036123276E0
2.923798583E0,4.420996606E-1,-5.692543983E-1,-2.287016392E0
2.943751583E0,5.438107252E-1,-7.104536295E-1,-2.404638529E0
2.963704583E0,5.838255882E-1,-8.920171261E-1,-2.600378036E0
2.983656583E0,5.402983427E-1,-8.702178001E-1,-2.947911024E0
3.003609583E0,2.807756960E-1,-4.333250821E-1,-3.127499104E0
3.023562583E0,4.128495157E-1,-6.978151202E-1,-3.370706558E0
3.043514583E0,4.452271163E-1,-1.552186489E0,-3.718645096E0
3.063467583E0,3.217787147E-1,-1.739311099E0,-3.645892143E0
3.083420583E0,4.157964885E-1,-1.141747952E0,-2.759117603E0
3.103372583E0,4.345555305E-1,-4.911355376E-1,-1.706638098E0
3.123325583E0,4.967854321E-1,-2.888757586E-1,-1.525711179E0
3.143278583E0,5.885185599E-1,-2.037169486E-1,-1.753520608E0
3.163230583E0,6.941208839E-1,3.767469525E-1,-1.650927067E0
3.183183583E0,6.822704077E-1,6.304052472E-1,-1.570019245E0
3.203136583E0,7.089387774E-1,7.523029447E-1,-1.496782184E0
3.223088583E0,7.128775716E-1,1.045912623E0,-1.482658744E0
3.243041583E0,6.903998852E-1,1.301995158E0,-1.483226418E0
3.262994583E0,5.794746876E-1,1.184053421E0,-1.327626824E0
3.282946583E0,5.368841887E-1,1.155490160E0,-1.093930364E0
3.302899583E0,5.588484406E-1,8.564282060E-1,-7.426923513E-1
3.322852583E0,6.114041209E-1,2.663147748E-1,-4.045924544E-1
3.342804583E0,6.071673632E-1,-4.582762718E-1,-1.985442489E-1
3.362757583E0,6.124059558E-1,-9.578777552E-1,-3.953553438E-1
