"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.788330268354949E9,"2026-09-02 14:24:28.355 UTC+08:00"
"PAUSE",1.906290952958167E3,1.788332174626887E9,"2026-09-02 14:56:14.627 UTC+08:00"
"START",1.906290952958167E3,1.788332177545961E9,"2026-09-02 14:56:17.546 UTC+08:00"
"PAUSE",1.907903587624896E3,1.788332179158585E9,"2026-09-02 14:56:19.159 UTC+08:00"
