"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.788253733227803E9,"2026-09-01 17:08:53.228 UTC+08:00"
"PAUSE",2.173366679167375E2,1.788253950563166E9,"2026-09-01 17:12:30.563 UTC+08:00"
"START",2.173366679167375E2,1.788254220701897E9,"2026-09-01 17:17:00.702 UTC+08:00"
"PAUSE",4.274908860835712E2,1.788254430861613E9,"2026-09-01 17:20:30.862 UTC+08:00"
