"Time (s)","X (µT)","Y (µT)","Z (µT)"
6.142874947E-3,-1.149557877E1,-8.724349976E0,-3.892596436E1
2.611187496E-2,-1.147356796E1,-8.682556152E0,-3.882226562E1
4.608187499E-2,-1.154978561E1,-8.703567505E0,-3.913665771E1
6.605087500E-2,-1.157452774E1,-8.728210449E0,-3.920739746E1
8.601987502E-2,-1.153772354E1,-8.716964722E0,-3.921923828E1
1.059898750E-1,-1.153786850E1,-8.711318970E0,-3.946038818E1
1.259588751E-1,-1.156367874E1,-8.753845215E0,-3.953332520E1
1.459278751E-1,-1.147259140E1,-8.673553467E0,-3.943713379E1
1.658978749E-1,-1.154831314E1,-8.694686890E0,-3.931158447E1
1.858668749E-1,-1.156038284E1,-8.659606934E0,-3.927471924E1
2.058358749E-1,-1.162396622E1,-8.616424561E0,-3.907061768E1
2.258048749E-1,-1.161638260E1,-8.627899170E0,-3.915661621E1
2.457748749E-1,-1.163485336E1,-8.584671021E0,-3.906188965E1
2.657438749E-1,-1.168316269E1,-8.578445435E0,-3.904364014E1
2.857128750E-1,-1.172706223E1,-8.523223877E0,-3.921356201E1
3.056828750E-1,-1.157080460E1,-8.550415039E0,-3.928387451E1
3.256518750E-1,-1.164618301E1,-8.597778320E0,-3.927783203E1
3.456208750E-1,-1.164848709E1,-8.542770386E0,-3.923156738E1
3.655898750E-1,-1.158031082E1,-8.507568359E0,-3.924609375E1
3.855598751E-1,-1.153439713E1,-8.529037476E0,-3.914410400E1
4.055288751E-1,-1.155937576E1,-8.473785400E0,-3.911846924E1
4.254978749E-1,-1.147802353E1,-8.448318481E0,-3.913226318E1
4.454678749E-1,-1.147145462E1,-8.514938354E0,-3.917333984E1
4.654368749E-1,-1.153268814E1,-8.531417847E0,-3.895336914E1
4.854058749E-1,-1.163304520E1,-8.587509155E0,-3.902325439E1
5.053758749E-1,-1.167227554E1,-8.617874146E0,-3.902783203E1
5.253448749E-1,-1.179421616E1,-8.625595093E0,-3.895037842E1
5.453138750E-1,-1.175130081E1,-8.809356689E0,-3.907763672E1
5.652828750E-1,-1.173859787E1,-8.939178467E0,-3.902783203E1
5.852528750E-1,-1.190391159E1,-9.035263062E0,-3.874133301E1
6.052218750E-1,-1.184965897E1,-9.182815552E0,-3.875299072E1
6.251908750E-1,-1.196668625E1,-9.345397949E0,-3.869732666E1
6.451608751E-1,-1.185865402E1,-9.486083984E0,-3.863342285E1
6.651298751E-1,-1.168551254E1,-9.625244141E0,-3.858251953E1
6.850988748E-1,-1.153577042E1,-9.636581421E0,-3.858007812E1
7.050678749E-1,-1.130951309E1,-9.643753052E0,-3.857446289E1
7.250378749E-1,-1.099686432E1,-9.714080811E0,-3.883404541E1
7.450068749E-1,-1.072496033E1,-9.918060303E0,-3.894476318E1
7.649758749E-1,-1.052371216E1,-1.017166138E1,-3.898950195E1
7.849458749E-1,-1.004189301E1,-1.036557007E1,-3.894012451E1
8.049148750E-1,-9.663215637E0,-1.054051208E1,-3.904418945E1
