"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-2.593124984E-3,3.646117859E0,8.713380432E0,2.630180511E0
1.737587503E-2,3.602408752E0,8.660690002E0,2.918480988E0
3.734487505E-2,3.638932800E0,8.668324127E0,2.816093903E0
5.731487507E-2,3.606749725E0,8.642727356E0,2.814746704E0
7.728387485E-2,3.570375366E0,8.609945526E0,2.770289154E0
9.725287487E-2,3.573069763E0,8.647966461E0,2.797083435E0
1.172228749E-1,3.555107117E0,8.621022491E0,2.833158417E0
1.371918749E-1,3.601360931E0,8.609047394E0,2.854863281E0
1.571608749E-1,3.620970154E0,8.634045410E0,2.846331024E0
1.771298749E-1,3.571722565E0,8.631201324E0,2.823877716E0
1.970998750E-1,3.566034393E0,8.612041168E0,2.858156433E0
2.170688750E-1,3.586691437E0,8.572373657E0,2.830164642E0
2.370378750E-1,3.627706146E0,8.607999573E0,2.772235107E0
2.570078750E-1,3.603306885E0,8.623716888E0,2.778522034E0
2.769768750E-1,3.546275482E0,8.640781403E0,2.824027405E0
2.969458750E-1,3.554059296E0,8.665629730E0,2.801723785E0
3.169158751E-1,3.582200775E0,8.662037201E0,2.730172577E0
3.368848749E-1,3.604055328E0,8.592431946E0,2.781366119E0
3.568538749E-1,3.586541748E0,8.486302643E0,2.842139740E0
3.768228749E-1,3.660637665E0,8.439150696E0,2.845881958E0
3.967928749E-1,3.617677002E0,8.428073730E0,2.825524292E0
4.167618749E-1,3.639381866E0,8.552165680E0,2.837050323E0
4.367308749E-1,3.672463074E0,8.793763275E0,2.660417633E0
4.567008750E-1,3.599265289E0,8.927584991E0,2.474953308E0
4.766698750E-1,3.442541199E0,8.973090363E0,2.448308716E0
4.966388750E-1,3.288810883E0,8.885073395E0,2.371967468E0
5.166078750E-1,3.333268433E0,8.691825256E0,2.423460388E0
5.365778750E-1,3.815415802E0,8.653055878E0,2.728825378E0
5.565468750E-1,3.860023041E0,8.776100006E0,2.658621368E0
5.765158751E-1,3.771856384E0,8.838220825E0,2.504591675E0
5.964858748E-1,3.542084198E0,8.470285950E0,2.715952148E0
6.164548749E-1,3.236868896E0,8.092920685E0,3.025807800E0
6.364238749E-1,3.473227386E0,7.684270477E0,3.502117310E0
6.563938749E-1,3.808081055E0,7.800279236E0,3.996539154E0
6.763628749E-1,4.444557495E0,7.960895233E0,4.159550171E0
