"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.503839750E0,-2.327130318E0,3.281620145E-1,-1.230323195E0
1.523808750E0,9.246678948E-1,1.274722576E0,-1.499236941E0
1.543778750E0,1.249232650E0,1.418391228E0,-9.962067753E-2
1.563747750E0,1.171914697E0,9.781274796E-1,2.815455496E-1
1.583716750E0,1.235175252E0,5.127809644E-1,4.419090152E-1
1.603685750E0,7.199799418E-1,3.645801842E-1,4.847095013E-1
1.623655750E0,3.263887763E-1,5.601063967E-1,4.246594310E-1
1.643624750E0,2.937850058E-1,7.145453691E-1,1.813864410E-1
1.663593750E0,3.655869663E-1,7.086802721E-1,1.130343881E-2
1.683562750E0,2.542331815E-1,6.937127113E-1,-6.646155566E-2
1.703532750E0,-2.131024450E-1,7.441961169E-1,4.946522042E-2
1.723501750E0,-8.705338836E-1,6.661679149E-1,1.962397248E-1
1.743470750E0,-1.275167704E0,4.477808774E-1,3.811780512E-1
1.763440750E0,-9.654177427E-1,3.892112374E-1,4.288431108E-1
1.783409750E0,-7.241092324E-1,8.410064578E-1,4.387235045E-1
1.803378750E0,-4.011370838E-1,1.330711842E0,1.466919780E-1
1.823347750E0,-9.293607436E-3,1.604770541E0,1.138915215E-2
1.843317750E0,2.447381616E-1,1.851670861E0,2.463648468E-1
1.863286750E0,7.070019841E-1,2.112026930E0,4.950437546E-1
1.883255750E0,9.491664171E-1,2.031572104E0,6.073314548E-1
1.903225750E0,1.143347383E0,1.687878132E0,5.601177812E-1
1.923194750E0,1.339638948E0,7.561385632E-1,5.186409950E-1
1.943163750E0,1.560630202E0,3.113399744E-1,5.156452656E-1
1.963132750E0,1.646215081E0,1.847216725E0,6.835691333E-1
1.983102750E0,1.286888361E0,1.404759049E0,5.827597976E-1
2.003071750E0,-9.003948569E-1,-3.821913898E-1,9.211474061E-1
2.023040750E0,-2.204242706E0,-7.402793169E-1,9.615949392E-1
2.043010750E0,-1.485626221E0,-2.822603285E-1,-9.382739663E-2
2.062979750E0,-1.820220947E-1,6.544576883E-1,-4.922696352E-1
2.082948750E0,3.210960627E-1,6.072450876E-1,-4.232277274E-1
2.102917750E0,5.175372958E-1,2.683865651E-2,-1.507841349E-1
2.122887750E0,7.389991283E-1,9.092465043E-2,1.620485336E-1
2.142856750E0,6.932429075E-1,4.088362455E-1,2.775713503E-1
2.162825750E0,3.489700854E-1,5.143418908E-1,3.696720898E-1
2.182795750E0,3.800719380E-1,7.625359893E-1,5.288013816E-1
2.202764750E0,5.281315446E-1,1.027478099E0,7.030098438E-1
2.222733750E0,4.950610697E-1,1.017079234E0,7.856501341E-1
2.242702750E0,3.710467219E-1,9.392685890E-1,6.084944010E-1
2.262672750E0,3.708553314E-1,7.169953585E-1,3.156116307E-1
2.282641750E0,5.255409479E-1,4.274938107E-1,1.644389182E-1
2.302610750E0,5.769650340E-1,1.410471499E-1,2.818499804E-1
2.322580750E0,3.287611008E-1,-7.554526627E-2,5.120402575E-1
2.342549750E0,-9.984481335E-2,-4.897745550E-1,6.256866455E-1
2.362518750E0,-6.484929919E-1,-1.016886115E0,6.190932393E-1
2.382487750E0,-7.558268905E-1,-1.376217842E0,4.759153724E-1
2.402457750E0,-2.219513059E-1,-1.142909169E0,1.322164983E-1
2.422426750E0,-9.256988764E-2,-8.706910610E-1,-1.670442969E-1
2.442395750E0,-6.095901132E-1,-2.321494669E-1,-6.419297457E-1
2.462364750E0,-7.217506170E-1,5.243906379E-1,-9.049239755E-1
2.482334750E0,-5.258290768E-1,4.777022600E-1,-5.504279137E-1
2.502303750E0,-2.004522979E-1,5.610287786E-1,-2.410011292E-1
2.522272750E0,-2.617872655E-1,6.135578752E-1,1.038973406E-1
2.542242750E0,-1.535982937E-1,8.881741166E-1,2.699317634E-1
2.562211750E0,2.862345576E-1,8.744176030E-1,3.040635288E-1
2.582180750E0,8.193923831E-1,6.855383515E-1,2.018393874E-1
2.602149750E0,7.822682261E-1,5.845117569E-1,-2.224241151E-3
2.622119750E0,-2.208705992E-3,3.461408019E-1,-3.197007999E-2
2.642088750E0,-5.350509286E-1,1.763973683E-1,-3.980987146E-2
2.662057750E0,-5.554392338E-1,1.137092113E-1,-1.296294928E-1
2.682027750E0,-7.234249115E-1,-1.338663399E-1,-2.268969566E-1
2.701996750E0,-8.803673387E-1,-2.758110762E-1,-2.144218385E-1
2.721965750E0,-1.008298039E0,-3.797348440E-1,-1.574299335E-1
2.741934750E0,-8.517732620E-1,-3.112069666E-1,-8.328505605E-2
2.761904750E0,-3.642173111E-1,-4.959382862E-2,-5.903413892E-2
2.781873750E0,-1.499161273E-1,1.482997090E-1,-1.159646437E-1
2.801842750E0,-1.728653908E-1,2.167123109E-1,1.557021029E-2
2.821811875E0,8.506398648E-2,3.997499645E-1,2.069499046E-1
2.841781875E0,4.701626301E-1,7.083414793E-1,3.347134590E-1
2.861750875E0,6.390974522E-1,8.407263756E-1,4.265745282E-1
2.881719875E0,7.543077469E-1,1.038770318E0,4.934747517E-1
2.901689875E0,1.030370116E0,1.037001610E0,4.929089248E-1
2.921658875E0,5.008155107E-1,3.920394778E-1,4.619662464E-1
2.941627875E0,-7.350702286E-1,-2.894987166E-1,3.211946413E-2
2.961596875E0,-1.263053536E0,-9.904335141E-1,-1.341841370E-1
2.981566875E0,-8.624846935E-1,-8.053514957E-1,-4.424229637E-2
3.001535875E0,-6.669659615E-1,-6.739631295E-1,-2.437441945E-1
3.021504875E0,-3.556644917E-1,-6.255446672E-1,-4.835613668E-1
3.041473875E0,1.326425374E-1,-3.523506224E-1,-6.045616269E-1
3.061443875E0,2.675904334E-1,-2.676203847E-1,-4.634448886E-1
3.081412875E0,2.092342358E-3,-5.369703770E-1,-2.398668677E-1
3.101381875E0,1.848604083E-1,-5.899792910E-1,-1.583471596E-1
3.121351875E0,6.170274615E-1,-2.669255137E-1,-2.681534588E-1
3.141320875E0,7.644645572E-1,-1.648076028E-1,-2.693518102E-1
3.161289875E0,5.857564807E-1,-1.842489839E-1,-2.191894352E-1
3.181258875E0,3.183418512E-1,-1.573909521E-1,-7.057693601E-2
3.201228875E0,9.014467150E-2,-4.623600096E-2,2.378593981E-1
3.221197875E0,-6.036322564E-2,-9.479520470E-2,5.833720565E-1
3.241166875E0,2.671044879E-2,-1.313251257E-1,6.271852851E-1
3.261135875E0,4.278119802E-1,-8.983665705E-2,3.182487190E-1
3.281105875E0,6.562702060E-1,-3.722324967E-2,-3.925747424E-2
3.301074875E0,3.605680764E-1,-3.739883006E-1,-1.046799272E-1
3.321043875E0,-1.323095709E-1,-5.888240337E-1,-5.034832656E-2
3.341013875E0,-6.727102399E-1,-7.177034616E-1,-6.380555034E-2
3.360982875E0,-5.279885530E-1,-1.092068791E0,1.525669172E-2
3.380951875E0,3.012308776E-1,-1.114501476E0,-8.178509027E-2
3.400920875E0,4.260308146E-1,-1.278892875E0,-2.864155471E-1
3.420890875E0,4.119873047E-2,-1.064639807E0,-7.804992199E-1
3.440859875E0,-3.304289281E-1,-5.214529634E-1,-1.104886889E0
3.460828875E0,-1.375521541E0,-6.350269914E-1,-5.429944992E-1
3.480797875E0,-1.337623119E0,-4.441459477E-1,-9.716625512E-2
3.500767875E0,-4.655849040E-1,-2.459945977E-1,8.387335390E-2
3.520736875E0,-3.992509842E-1,-3.857401311E-1,6.810195744E-2
3.540705875E0,-8.612509072E-2,-3.743439168E-2,7.453946769E-2
3.560675875E0,2.967366576E-1,3.253247142E-1,1.931980401E-1
3.580644875E0,3.111867309E-1,3.163465559E-1,3.360548019E-1
3.600613875E0,2.100322396E-1,2.433550656E-1,2.971413732E-1
3.620582875E0,3.460231721E-1,2.550051510E-1,1.628817916E-1
3.640552875E0,6.224561334E-1,1.869062036E-1,4.448398948E-2
3.660521875E0,8.741077781E-1,1.798487455E-1,-1.021504104E-1
3.680490875E0,6.532036066E-1,6.600800902E-2,-2.495495230E-1
3.700459875E0,1.639126092E-1,1.374218911E-1,-2.792055011E-1
3.720429875E0,-4.405644536E-1,2.536078393E-1,-1.643343717E-1
3.740398875E0,-5.836585760E-1,4.107027054E-1,4.472968355E-2
3.760367875E0,-4.991122484E-1,5.009038448E-1,2.885234952E-1
3.780337875E0,-4.984305799E-1,3.494749367E-1,3.380317688E-1
3.800306875E0,-8.112457395E-1,1.283548772E-1,1.502202600E-1
3.820275500E0,-8.193904161E-1,2.302780747E-1,4.343111068E-2
3.840244500E0,-4.348331392E-1,4.245936573E-1,8.112908900E-2
3.860214500E0,4.048897699E-2,7.482353449E-1,1.625540704E-1
3.880183500E0,4.823008776E-1,1.094434142E0,3.519462645E-1
3.900152500E0,8.065322042E-1,1.319195151E0,4.112108350E-1
3.920121500E0,1.000522494E0,1.317472816E0,3.886188269E-1
3.940091500E0,1.136747003E0,1.157089472E0,3.590013981E-1
3.960060500E0,1.208730102E0,1.126445293E0,4.878981113E-1
3.980029500E0,6.043724418E-1,1.125705481E0,3.834624290E-1
3.999998500E0,-3.438400626E-1,8.675879240E-1,1.554186493E-1
4.019968500E0,-8.582958579E-1,7.753568888E-2,2.267124057E-1
4.039937500E0,-8.406310678E-1,-5.022437871E-2,5.849029422E-1
