"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.695395927E0,-1.560324337E-2,-1.247910410E-2,2.408554312E-3
1.715395927E0,-1.151917316E-2,-1.356120780E-2,6.457718089E-3
1.735394365E0,-1.466076588E-3,-2.478367416E-3,5.445427261E-3
1.755395927E0,1.745329238E-3,7.504915702E-4,9.424777701E-3
1.775395927E0,-7.417649496E-3,-6.265731994E-3,1.310742274E-2
1.795394365E0,-2.553416602E-2,-1.413716655E-2,8.587019518E-3
1.815395927E0,-2.506292798E-2,-9.756390937E-3,2.617993741E-4
1.835395927E0,-1.041961554E-2,3.455751808E-3,-3.490658419E-4
1.855394365E0,2.705260413E-3,6.440265104E-3,7.592182141E-3
1.875394365E0,1.169370604E-3,3.124139272E-3,1.672025397E-2
1.895394365E0,-1.050688233E-2,-5.305801053E-3,1.062905509E-2
1.915397490E0,-1.696459949E-2,-2.809980186E-3,6.806784077E-4
1.935394365E0,-1.649336144E-2,3.996803891E-3,-1.692969352E-3
1.955395927E0,-1.593485661E-2,5.009094719E-3,2.460914198E-3
1.975395927E0,-1.787217148E-2,4.293509759E-3,9.965829551E-3
1.995394365E0,-2.138028294E-2,2.862340072E-3,1.295034308E-2
2.015395927E0,-1.860520989E-2,8.098327555E-3,1.137954649E-2
2.035394365E0,-1.717403904E-2,-1.570796361E-3,6.963863503E-3
2.055395927E0,-2.104867063E-2,-2.443460934E-2,-1.692969352E-3
2.075394365E0,-1.879719645E-2,-3.234095126E-2,-1.991420612E-2
2.095394365E0,-1.150172018E-2,-2.272418700E-2,-4.125958309E-2
2.115397490E0,-8.499753661E-3,-5.619960371E-3,-4.904375225E-2
2.135394365E0,-1.108284108E-2,1.446877979E-2,-3.935717419E-2
2.155394365E0,-1.213003788E-2,2.040289901E-2,-1.898918301E-2
2.175394365E0,-1.071632188E-2,9.250245057E-3,8.709193207E-3
2.195395927E0,-5.026548170E-3,2.617993741E-4,3.981095925E-2
2.215395927E0,-3.700098023E-3,-4.974188283E-3,5.028293654E-2
2.235394365E0,-1.115265395E-2,-1.811651699E-2,3.663446009E-2
2.255395927E0,-1.022762898E-2,-8.901178837E-3,-5.235987919E-5
2.275397490E0,-2.617993741E-4,5.689773243E-3,-3.474950418E-2
2.295394365E0,4.607669078E-3,3.438298590E-3,-5.138249323E-2
2.315395927E0,1.151917269E-3,3.961897455E-3,-4.961971194E-2
2.335395927E0,-1.745329238E-3,1.647590846E-2,-3.354522958E-2
2.355394365E0,-7.033676840E-3,1.644100063E-2,-5.427973811E-3
2.375394365E0,-9.337511845E-3,-1.221730490E-4,1.918116771E-2
2.395394365E0,-6.841690745E-3,-1.090830751E-2,3.518583626E-2
2.415397490E0,5.759586347E-4,-7.644542027E-3,3.253293782E-2
2.435394365E0,8.150687441E-3,-6.562437862E-3,1.591740362E-2
2.455395927E0,7.592182141E-3,-2.652900526E-3,-1.029744279E-3
2.475397490E0,3.036872949E-3,-1.378810150E-3,-1.151917316E-2
2.495394365E0,2.356194425E-3,-3.525565146E-3,-1.375319436E-2
2.515395927E0,-1.221730490E-4,-5.253441166E-3,-9.930923581E-3
2.535394365E0,5.061454722E-4,1.797689125E-3,-4.468042869E-3
2.555395927E0,3.124139272E-3,9.407324716E-3,6.108652451E-4
2.575395927E0,3.595378250E-3,1.069886796E-2,1.076868176E-2
2.595394365E0,-2.967059845E-4,9.285151958E-3,1.570796408E-2
2.615397490E0,-4.660028964E-3,1.054178830E-2,1.342158206E-2
2.635394365E0,-1.954768784E-3,7.016223390E-3,1.308996929E-3
2.655394365E0,1.204277156E-3,5.235987919E-5,-1.326450240E-2
2.675394365E0,9.232792072E-3,3.455751808E-3,-2.094395086E-2
2.695395927E0,1.577777602E-2,6.056292448E-3,-1.687733456E-2
2.715395927E0,1.089085452E-2,3.630284918E-3,5.113814492E-3
2.735394365E0,1.221730490E-3,2.408554312E-3,2.672099136E-2
2.755395927E0,-5.305801053E-3,8.220500313E-3,3.159045801E-2
2.775395927E0,-7.627088577E-3,1.123992074E-2,2.249729447E-2
2.795394365E0,-6.457717973E-4,1.057669520E-2,1.481784508E-2
2.815395927E0,7.836528122E-3,3.246312495E-3,1.438151300E-2
2.835395927E0,1.022762898E-2,-6.649704650E-3,1.188569237E-2
2.855394365E0,2.373647876E-3,-1.174606569E-2,-4.537856148E-4
2.875394365E0,-2.164208330E-3,-3.036872949E-3,-1.637118869E-2
2.895394365E0,1.099557383E-3,6.806783844E-3,-2.363175713E-2
2.915397490E0,6.946410518E-3,3.036872949E-3,-1.731366664E-2
2.935394365E0,7.906341925E-3,-4.101523664E-3,-1.235693134E-2
2.955395927E0,5.986479111E-3,-1.281071641E-2,-1.806415804E-2
2.975395927E0,-2.583087189E-3,-4.014257342E-3,-2.195624262E-2
2.995394365E0,-6.859143730E-3,2.303834539E-3,-1.773254573E-2
3.015395927E0,1.675516134E-3,-1.014036313E-2,-2.076941775E-3
3.035394365E0,1.333431527E-2,-1.719149388E-2,1.247910410E-2
3.055395927E0,6.614797749E-3,-1.719149388E-2,2.722713538E-2
3.075395927E0,-1.188569237E-2,-1.052433532E-2,4.066617042E-2
3.095394365E0,-1.848303713E-2,-1.165879890E-2,4.968952388E-2
3.115397490E0,-1.780235791E-3,-1.422443334E-2,3.879866749E-2
3.135394365E0,1.984439418E-2,-1.951278187E-2,-4.502949305E-3
3.155394365E0,2.949606441E-2,-8.028514683E-3,-5.984733999E-2
3.175394365E0,2.501056902E-2,1.363102160E-2,-9.012880176E-2
3.195395927E0,2.001892589E-2,1.788962446E-2,-7.520623505E-2
3.215395927E0,1.476548519E-2,5.288347602E-3,-2.949606441E-2
3.235394365E0,1.075122785E-2,-1.117010717E-3,1.026253588E-2
3.255395927E0,6.143558770E-3,-5.044001620E-3,3.494149074E-2
3.275395927E0,3.420845373E-3,-1.237438433E-2,4.356341809E-2
3.295394365E0,1.082104165E-2,-1.691224054E-2,3.960151970E-2
3.315395927E0,2.185152285E-2,-8.133234456E-3,2.403318323E-2
3.335395927E0,2.382374369E-2,6.981316954E-3,1.406735368E-2
3.355394365E0,1.357866172E-2,9.354964830E-3,1.598721556E-2
3.375394365E0,-5.672320258E-3,1.172861271E-2,1.569050923E-2
3.395394365E0,-2.136282995E-2,1.158898603E-2,5.445427261E-3
3.415397490E0,-1.836086437E-2,1.235693134E-2,-9.093165398E-3
3.435394365E0,5.061454605E-3,1.085594762E-2,-2.218313515E-2
3.455395927E0,2.579596639E-2,5.462880712E-3,-2.802998759E-2
3.475397490E0,2.459168993E-2,5.724680144E-3,-2.754129469E-2
