"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.873914365E0,4.249324799E-1,2.272805929E0,9.142335892E0
1.893914365E0,4.243865907E-1,2.270957708E0,9.143694878E0
1.913917490E0,4.315596223E-1,2.262079954E0,9.175414085E0
1.933914365E0,3.818559945E-1,2.254600525E0,9.203168869E0
1.953915927E0,3.826700449E-1,2.208401918E0,9.177799225E0
1.973915927E0,4.246930480E-1,2.176271677E0,9.146300316E0
1.993914365E0,4.992580712E-1,2.177248716E0,9.127713203E0
2.013915927E0,5.304305553E-1,2.220554829E0,9.168327332E0
2.033914365E0,5.606070757E-1,2.247810602E0,9.222638130E0
2.053915927E0,5.761598349E-1,2.246144056E0,9.215761185E0
2.073914365E0,5.852673650E-1,2.186710596E0,9.174993515E0
2.093914365E0,5.266381502E-1,2.154235601E0,9.097860336E0
2.113917490E0,4.368843436E-1,2.199639320E0,9.081091881E0
2.133914365E0,3.301699758E-1,2.249869585E0,9.070518494E0
2.153914365E0,2.813282609E-1,2.287659645E0,9.135947227E0
2.173914365E0,2.670205235E-1,2.281291008E0,9.209468842E0
2.193915927E0,3.510282636E-1,2.258555651E0,9.209297180E0
2.213915927E0,5.083464384E-1,2.205423594E0,9.208177567E0
2.233914365E0,6.476793885E-1,2.169165850E0,9.147774696E0
2.253915927E0,7.236426473E-1,2.129575253E0,9.127577782E0
2.273917490E0,6.477081180E-1,2.134574413E0,9.155685425E0
2.293914365E0,4.955518544E-1,2.193021536E0,9.147977829E0
2.313915927E0,3.739551306E-1,2.226789474E0,9.135717392E0
2.333915927E0,2.300636172E-1,2.293654680E0,9.143782616E0
2.353914365E0,1.938345581E-1,2.325037956E0,9.198397636E0
2.373914365E0,2.477519810E-1,2.286979675E0,9.245919228E0
2.393914365E0,3.747212887E-1,2.226214886E0,9.171373367E0
2.413917490E0,4.950442910E-1,2.187649012E0,9.148982048E0
2.433914365E0,5.580884218E-1,2.169070005E0,9.142325401E0
2.453915927E0,5.639110804E-1,2.170563936E0,9.142690659E0
2.473917490E0,5.158833861E-1,2.197455645E0,9.161871910E0
2.493914365E0,4.775091410E-1,2.188587666E0,9.180020332E0
2.513915927E0,4.619085193E-1,2.154829264E0,9.165348053E0
2.533914365E0,4.547354877E-1,2.173302889E0,9.164697647E0
2.553915927E0,4.316458106E-1,2.157664061E0,9.141406059E0
2.573915927E0,4.190810621E-1,2.174998045E0,9.137537003E0
2.593914365E0,4.494107962E-1,2.227852583E0,9.120576859E0
2.613917490E0,5.173773766E-1,2.252493620E0,9.172033310E0
2.633914365E0,5.539608002E-1,2.206381321E0,9.191148758E0
2.653914365E0,5.334089398E-1,2.192035198E0,9.187624931E0
2.673914365E0,4.240610003E-1,2.232889891E0,9.180422783E0
2.693915927E0,3.260232210E-1,2.292754412E0,9.155561447E0
2.713915927E0,2.367769629E-1,2.293003559E0,9.129598618E0
2.733914365E0,3.115526736E-1,2.272940159E0,9.124955177E0
2.753915927E0,4.035666287E-1,2.215661287E0,9.153291702E0
2.773915927E0,4.509813786E-1,2.171761036E0,9.217302322E0
2.793914365E0,4.620425999E-1,2.169318914E0,9.248321533E0
2.813915927E0,4.868465364E-1,2.162778139E0,9.220827103E0
2.833915927E0,5.424686074E-1,2.165047884E0,9.142718315E0
2.853914365E0,5.954570770E-1,2.166809797E0,9.089088440E0
2.873914365E0,5.747903585E-1,2.236825943E0,9.131877899E0
2.893914365E0,4.610274732E-1,2.280390739E0,9.198591232E0
2.913917490E0,3.939898014E-1,2.247513771E0,9.216010094E0
2.933914365E0,3.716375530E-1,2.228005648E0,9.189414978E0
2.953915927E0,3.350349963E-1,2.237831593E0,9.159536362E0
2.973915927E0,2.997061610E-1,2.242686987E0,9.108836174E0
2.993914365E0,2.673078179E-1,2.260308266E0,9.163021088E0
3.013915927E0,2.640995979E-1,2.231357574E0,9.209880829E0
3.033914365E0,3.374866545E-1,2.229767799E0,9.195553780E0
3.053915927E0,4.596484005E-1,2.239382982E0,9.146167755E0
3.073915927E0,6.112300754E-1,2.178464890E0,9.130919456E0
3.093914365E0,7.686344981E-1,2.074968338E0,9.158462524E0
3.113917490E0,8.702923059E-1,2.095022202E0,9.195238113E0
3.133914365E0,9.202640653E-1,2.170841694E0,9.167551994E0
3.153914365E0,8.007934093E-1,2.265556335E0,9.087010384E0
3.173914365E0,5.102905631E-1,2.302532434E0,9.089386940E0
3.193915927E0,2.148077637E-1,2.316591263E0,9.154995918E0
3.213915927E0,3.195780143E-2,2.332373857E0,9.192614555E0
3.233914365E0,4.876509681E-2,2.301900387E0,9.183335304E0
3.253915927E0,6.733452529E-2,2.292170286E0,9.163597107E0
3.273915927E0,2.301210761E-1,2.275650263E0,9.213416100E0
3.293914365E0,3.029048145E-1,2.224941015E0,9.272790909E0
3.313915927E0,4.332451522E-1,2.156218052E0,9.186244965E0
3.333915927E0,4.876892865E-1,2.167489767E0,9.092497826E0
3.353914365E0,5.793680549E-1,2.212529659E0,9.044355392E0
3.373914365E0,6.649847031E-1,2.239325523E0,9.017770767E0
3.393914365E0,7.084251046E-1,2.278236151E0,9.078476906E0
3.413917490E0,6.694570780E-1,2.273859501E0,9.222407341E0
3.433914365E0,5.749723315E-1,2.228513241E0,9.311549187E0
3.453915927E0,4.758906662E-1,2.216580629E0,9.252076149E0
3.473917490E0,4.305061698E-1,2.228302479E0,9.123181343E0
3.493914365E0,3.488543332E-1,2.266762972E0,9.063604355E0
3.513915927E0,3.082391024E-1,2.297552586E0,9.070145607E0
3.533914365E0,3.352265358E-1,2.300741434E0,9.153915405E0
3.553915927E0,3.973512650E-1,2.298270702E0,9.197095871E0
3.573914365E0,4.915104210E-1,2.260193348E0,9.180556297E0
3.593914365E0,5.360808969E-1,2.275975943E0,9.139425278E0
3.613917490E0,5.039411187E-1,2.265135050E0,9.136512756E0
3.633914365E0,4.054819942E-1,2.298739910E0,9.159305573E0
3.653914365E0,3.612754345E-1,2.247149706E0,9.161067963E0
3.673914365E0,3.681037128E-1,2.236653566E0,9.142057419E0
3.693915927E0,4.234959483E-1,2.248701096E0,9.113250732E0
3.713915927E0,4.452257156E-1,2.284231186E0,9.155925751E0
3.733914365E0,5.095435381E-1,2.309303284E0,9.171305656E0
3.753915927E0,5.018916726E-1,2.274606466E0,9.196176529E0
3.773915927E0,4.827189147E-1,2.250175953E0,9.199643135E0
3.793914365E0,4.255549610E-1,2.241882563E0,9.156106949E0
3.813915927E0,3.551845849E-1,2.286615849E0,9.125748634E0
3.833915927E0,3.465463221E-1,2.300195694E0,9.120624542E0
3.853914365E0,3.626066148E-1,2.298117399E0,9.135221481E0
3.873914365E0,3.763014674E-1,2.305166006E0,9.188715935E0
3.893914365E0,3.875254691E-1,2.278906345E0,9.202929497E0
3.913917490E0,4.127220511E-1,2.275822639E0,9.148962975E0
3.933914365E0,4.906964004E-1,2.261610746E0,9.103003502E0
3.953915927E0,5.236693621E-1,2.250568628E0,9.114591599E0
3.973915927E0,5.012500286E-1,2.261677742E0,9.144241333E0
3.993914365E0,4.564880431E-1,2.266887426E0,9.178307533E0
4.013915927E0,3.807163537E-1,2.280927181E0,9.176610947E0
4.033914365E0,3.552707732E-1,2.333580494E0,9.160273552E0
4.053915927E0,2.867391706E-1,2.356430769E0,9.143197060E0
4.073914365E0,2.993230820E-1,2.331119061E0,9.125155449E0
4.093914365E0,3.965085149E-1,2.294133663E0,9.164544106E0
4.113917490E0,4.616116583E-1,2.260787010E0,9.178048134E0
4.133914365E0,4.886852801E-1,2.258594036E0,9.144232750E0
4.153914365E0,5.299612880E-1,2.275382280E0,9.131111145E0
4.173914365E0,5.658072829E-1,2.248490572E0,9.120481491E0
4.193915927E0,5.420280695E-1,2.204829931E0,9.148676872E0
4.213915927E0,4.846438766E-1,2.232650518E0,9.166507721E0
4.233914365E0,4.386751950E-1,2.251363516E0,9.171449661E0
4.253915927E0,4.118888676E-1,2.326905489E0,9.160264015E0
4.273915927E0,3.748553693E-1,2.345666409E0,9.163702011E0
4.293915927E0,2.991507053E-1,2.352102041E0,9.157458305E0
4.313915927E0,3.170306087E-1,2.328744173E0,9.162993431E0
4.333915927E0,3.660351038E-1,2.357100964E0,9.103922844E0
4.353915927E0,4.142160416E-1,2.336597204E0,9.089979172E0
4.373914365E0,4.256220162E-1,2.317280769E0,9.098320007E0
4.393914365E0,4.412992299E-1,2.291787148E0,9.190870285E0
4.413917490E0,4.513836205E-1,2.237438917E0,9.224179268E0
4.433914365E0,4.486159086E-1,2.263890028E0,9.175931931E0
4.453914365E0,4.781412184E-1,2.240273476E0,9.135221481E0
4.473917490E0,5.106736422E-1,2.222297907E0,9.120040894E0
4.493914365E0,5.448245406E-1,2.237017393E0,9.164438248E0
4.513915927E0,5.605017543E-1,2.270277739E0,9.146233559E0
4.533914365E0,5.102522373E-1,2.328523874E0,9.148531914E0
4.553915927E0,4.260242283E-1,2.348223448E0,9.135814667E0
4.573915927E0,3.398042321E-1,2.341921806E0,9.141991615E0
4.593914365E0,2.931460440E-1,2.364360332E0,9.123737335E0
4.613917490E0,3.055288494E-1,2.341940880E0,9.120768547E0
4.633914365E0,3.851887286E-1,2.343540192E0,9.089051247E0
4.653914365E0,5.004264712E-1,2.301469326E0,9.140660286E0
4.673914365E0,5.871157050E-1,2.265498877E0,9.257152557E0
4.693915927E0,6.464152932E-1,2.240330935E0,9.197267532E0
4.713915927E0,6.164398789E-1,2.236500263E0,9.084847450E0
4.733914365E0,5.473049283E-1,2.242064476E0,9.099421501E0
