"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.788253727927000E9,"2026-09-01 17:08:47.927 UTC+08:00"
"PAUSE",2.269481642500032E2,1.788253954871000E9,"2026-09-01 17:12:34.871 UTC+08:00"
"START",2.269481642500032E2,1.788254218551000E9,"2026-09-01 17:16:58.551 UTC+08:00"
"PAUSE",2.289427569583058E2,1.788254220546000E9,"2026-09-01 17:17:00.546 UTC+08:00"
"START",2.289427569583058E2,1.788254225356000E9,"2026-09-01 17:17:05.356 UTC+08:00"
"PAUSE",4.393740656666341E2,1.788254435785000E9,"2026-09-01 17:20:35.785 UTC+08:00"
