"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.715810422E0,3.825761676E-1,8.212297559E-1,2.422167957E-1
1.735811985E0,6.145129800E-1,1.826748848E0,2.780483961E-1
1.755810422E0,9.106604457E-1,3.073647022E0,1.037598252E-1
1.775810422E0,7.108377218E-1,2.096506834E0,1.888620704E-1
1.795810422E0,5.026897192E-1,8.447393775E-2,3.389429450E-1
1.815811985E0,7.731808722E-2,-6.007074118E-1,5.313829184E-1
1.835810422E0,-2.439970337E-2,-4.656189382E-1,5.166523457E-1
1.855810422E0,3.580717444E-1,-8.171631396E-2,2.943672240E-1
1.875811985E0,6.142162681E-1,8.258025050E-1,8.133234084E-2
1.895810422E0,5.801125169E-1,1.375511408E0,2.186897583E-2
1.915810422E0,5.008571148E-1,1.072173238E0,1.951278187E-2
1.935808860E0,3.913202584E-1,5.761855245E-1,2.426007763E-3
1.955811985E0,3.760486245E-1,5.986828208E-1,5.871287733E-2
1.975810422E0,3.180513382E-1,5.699023604E-1,5.105087906E-2
1.995808860E0,3.964340985E-1,6.972241402E-1,1.719149388E-2
2.015811985E0,4.695110321E-1,7.521321774E-1,3.792600334E-2
2.035810422E0,6.071302295E-1,7.337363958E-1,3.913028166E-2
2.055810422E0,6.920928359E-1,8.394510150E-1,-3.228859231E-2
2.075810422E0,7.250970602E-1,1.002133131E0,-1.333431602E-1
2.095811985E0,7.082720399E-1,1.108877540E0,-1.542347521E-1
2.115810422E0,6.565753818E-1,1.114322901E0,-1.465029418E-1
2.135810422E0,6.478836536E-1,9.830217957E-1,-1.979552358E-1
2.155811985E0,5.697976351E-1,7.902327180E-1,-2.241177261E-1
2.175811985E0,4.462108612E-1,4.608716369E-1,-1.949532777E-1
2.195810422E0,3.588745892E-1,1.557182819E-1,-2.096489519E-1
2.215810422E0,2.760238349E-1,-5.597271025E-2,-2.429672778E-1
2.235811985E0,2.157750577E-1,-1.305157244E-1,-2.736501694E-1
2.255810422E0,1.507266313E-1,1.905899495E-2,-2.421993464E-1
2.275810422E0,1.514247656E-1,-9.135053307E-2,-2.338566631E-1
2.295810422E0,8.107054234E-2,-3.571467102E-1,-1.907819360E-1
2.315811985E0,-1.598721556E-2,-4.659680128E-1,-2.308896035E-1
2.335810422E0,-1.067966968E-1,-4.670326412E-1,-2.594955564E-1
2.355810422E0,-2.536486983E-1,-4.764225185E-1,-2.786941826E-1
2.375811985E0,-4.329289198E-1,-5.886297226E-1,-1.807637513E-1
2.395810422E0,-5.599714518E-1,-7.669849396E-1,-6.661921740E-2
2.415810422E0,-5.420469046E-1,-8.567297459E-1,4.241149873E-3
